Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
'Keymind - B_UNSAMPLED_train.csv',UNSAMPLED,'RANDOM FOREST',_train,0.378378,0.032609,0.967391,0.621622,0.608696,0.935909,0.413514
'Keymind - B_SMOTE_98.csv',SMOTE,'RANDOM FOREST',_98,0.96,0.083333,0.916667,0.04,0.919861,0.986818,0.876597
'Keymind - B_SMOTE_67.csv',SMOTE,'RANDOM FOREST',_67,0.963636,0.108696,0.891304,0.036364,0.898305,0.984387,0.854828
'Keymind - B_SMOTE_73.csv',SMOTE,'RANDOM FOREST',_73,0.967273,0.094203,0.905797,0.032727,0.910959,0.987411,0.872972
'Keymind - B_SMOTE_72.csv',SMOTE,'RANDOM FOREST',_72,0.963636,0.094203,0.905797,0.036364,0.910653,0.987892,0.869342
'Keymind - B_SMOTE_66.csv',SMOTE,'RANDOM FOREST',_66,0.96,0.07971,0.92029,0.04,0.923077,0.984394,0.880226
'Keymind - B_SMOTE_99.csv',SMOTE,'RANDOM FOREST',_99,0.956364,0.094203,0.905797,0.043636,0.910035,0.987484,0.862081
'Keymind - B_SMOTE_70.csv',SMOTE,'RANDOM FOREST',_70,0.956364,0.083333,0.916667,0.043636,0.91958,0.984934,0.872967
'Keymind - B_SMOTE_64.csv',SMOTE,'RANDOM FOREST',_64,0.963636,0.083333,0.916667,0.036364,0.920139,0.985988,0.880228
'Keymind - B_SMOTE_58.csv',SMOTE,'RANDOM FOREST',_58,0.974545,0.094203,0.905797,0.025455,0.911565,0.986976,0.880232
'Keymind - B_SMOTE_59.csv',SMOTE,'RANDOM FOREST',_59,0.956364,0.09058,0.90942,0.043636,0.913194,0.985731,0.86571
'Keymind - B_SMOTE_65.csv',SMOTE,'RANDOM FOREST',_65,0.96,0.094203,0.905797,0.04,0.910345,0.986436,0.865712
'Keymind - B_SMOTE_71.csv',SMOTE,'RANDOM FOREST',_71,0.949091,0.083333,0.916667,0.050909,0.919014,0.986601,0.865706
'Keymind - B_SMOTE_49.csv',SMOTE,'RANDOM FOREST',_49,0.967273,0.09058,0.90942,0.032727,0.914089,0.987292,0.876601
'Keymind - B_SMOTE_75.csv',SMOTE,'RANDOM FOREST',_75,0.963636,0.09058,0.90942,0.036364,0.913793,0.985474,0.87297
'Keymind - B_SMOTE_61.csv',SMOTE,'RANDOM FOREST',_61,0.963636,0.086957,0.913043,0.036364,0.916955,0.984605,0.876599
'Keymind - B_SMOTE_60.csv',SMOTE,'RANDOM FOREST',_60,0.96,0.094203,0.905797,0.04,0.910345,0.986265,0.865712
'Keymind - B_SMOTE_74.csv',SMOTE,'RANDOM FOREST',_74,0.96,0.097826,0.902174,0.04,0.907216,0.985573,0.862083
'Keymind - B_SMOTE_48.csv',SMOTE,'RANDOM FOREST',_48,0.96,0.086957,0.913043,0.04,0.916667,0.986001,0.872969
'Keymind - B_SMOTE_89.csv',SMOTE,'RANDOM FOREST',_89,0.970909,0.09058,0.90942,0.029091,0.914384,0.988314,0.880231
'Keymind - B_SMOTE_62.csv',SMOTE,'RANDOM FOREST',_62,0.96,0.083333,0.916667,0.04,0.919861,0.986278,0.876597
'Keymind - B_SMOTE_76.csv',SMOTE,'RANDOM FOREST',_76,0.967273,0.086957,0.913043,0.032727,0.917241,0.986298,0.880229
'Keymind - B_SMOTE_77.csv',SMOTE,'RANDOM FOREST',_77,0.970909,0.09058,0.90942,0.029091,0.914384,0.987055,0.880231
'Keymind - B_SMOTE_63.csv',SMOTE,'RANDOM FOREST',_63,0.956364,0.094203,0.905797,0.043636,0.910035,0.985876,0.862081
'Keymind - B_SMOTE_88.csv',SMOTE,'RANDOM FOREST',_88,0.967273,0.086957,0.913043,0.032727,0.917241,0.985995,0.880229
'Keymind - B_SMOTE_10.csv',SMOTE,'RANDOM FOREST',_10,0.978182,0.07971,0.92029,0.021818,0.924399,0.989704,0.898377
'Keymind - B_SMOTE_38.csv',SMOTE,'RANDOM FOREST',_38,0.967273,0.086957,0.913043,0.032727,0.917241,0.987885,0.880229
'Keymind - B_SMOTE_39.csv',SMOTE,'RANDOM FOREST',_39,0.96,0.094203,0.905797,0.04,0.910345,0.984592,0.865712
'Keymind - B_SMOTE_11.csv',SMOTE,'RANDOM FOREST',_11,0.949091,0.09058,0.90942,0.050909,0.912587,0.985758,0.858449
'Keymind - B_SMOTE_13.csv',SMOTE,'RANDOM FOREST',_13,0.96,0.094203,0.905797,0.04,0.910345,0.985876,0.865712
'Keymind - B_SMOTE_8.csv',SMOTE,'RANDOM FOREST',_8,0.967273,0.086957,0.913043,0.032727,0.917241,0.985487,0.880229
'Keymind - B_SMOTE_9.csv',SMOTE,'RANDOM FOREST',_9,0.956364,0.086957,0.913043,0.043636,0.916376,0.987345,0.869338
'Keymind - B_SMOTE_12.csv',SMOTE,'RANDOM FOREST',_12,0.963636,0.09058,0.90942,0.036364,0.913793,0.986502,0.87297
'Keymind - B_SMOTE_16.csv',SMOTE,'RANDOM FOREST',_16,0.974545,0.094203,0.905797,0.025455,0.911565,0.985343,0.880232
'Keymind - B_SMOTE_17.csv',SMOTE,'RANDOM FOREST',_17,0.970909,0.083333,0.916667,0.029091,0.92069,0.984618,0.887488
'Keymind - B_SMOTE_29.csv',SMOTE,'RANDOM FOREST',_29,0.967273,0.101449,0.898551,0.032727,0.904762,0.987075,0.865715
'Keymind - B_SMOTE_15.csv',SMOTE,'RANDOM FOREST',_15,0.956364,0.094203,0.905797,0.043636,0.910035,0.985652,0.862081
'Keymind - B_SMOTE_14.csv',SMOTE,'RANDOM FOREST',_14,0.963636,0.097826,0.902174,0.036364,0.907534,0.98525,0.865713
'Keymind - B_SMOTE_28.csv',SMOTE,'RANDOM FOREST',_28,0.956364,0.07971,0.92029,0.043636,0.922807,0.985856,0.876596
'Keymind - B_SMOTE_25.csv',SMOTE,'RANDOM FOREST',_25,0.967273,0.101449,0.898551,0.032727,0.904762,0.986206,0.865715
'Keymind - B_SMOTE_31.csv',SMOTE,'RANDOM FOREST',_31,0.963636,0.09058,0.90942,0.036364,0.913793,0.987062,0.87297
'Keymind - B_SMOTE_19.csv',SMOTE,'RANDOM FOREST',_19,0.963636,0.083333,0.916667,0.036364,0.920139,0.985679,0.880228
'Keymind - B_SMOTE_2.csv',SMOTE,'RANDOM FOREST',_2,0.956364,0.09058,0.90942,0.043636,0.913194,0.986601,0.86571
'Keymind - B_SMOTE_3.csv',SMOTE,'RANDOM FOREST',_3,0.967273,0.09058,0.90942,0.032727,0.914089,0.988294,0.876601
'Keymind - B_SMOTE_18.csv',SMOTE,'RANDOM FOREST',_18,0.96,0.086957,0.913043,0.04,0.916667,0.985086,0.872969
'Keymind - B_SMOTE_30.csv',SMOTE,'RANDOM FOREST',_30,0.956364,0.07971,0.92029,0.043636,0.922807,0.98529,0.876596
'Keymind - B_SMOTE_24.csv',SMOTE,'RANDOM FOREST',_24,0.967273,0.09058,0.90942,0.032727,0.914089,0.987668,0.876601
'Keymind - B_SMOTE_32.csv',SMOTE,'RANDOM FOREST',_32,0.978182,0.094203,0.905797,0.021818,0.911864,0.986812,0.883862
'Keymind - B_SMOTE_26.csv',SMOTE,'RANDOM FOREST',_26,0.96,0.094203,0.905797,0.04,0.910345,0.985777,0.865712
'Keymind - B_SMOTE_1.csv',SMOTE,'RANDOM FOREST',_1,0.970909,0.086957,0.913043,0.029091,0.917526,0.98774,0.883859
'Keymind - B_SMOTE_0.csv',SMOTE,'RANDOM FOREST',_0,0.967273,0.083333,0.916667,0.032727,0.920415,0.985184,0.883858
'Keymind - B_SMOTE_27.csv',SMOTE,'RANDOM FOREST',_27,0.963636,0.094203,0.905797,0.036364,0.910653,0.984717,0.869342
'Keymind - B_SMOTE_33.csv',SMOTE,'RANDOM FOREST',_33,0.96,0.083333,0.916667,0.04,0.919861,0.985731,0.876597
'Keymind - B_SMOTE_4.csv',SMOTE,'RANDOM FOREST',_4,0.967273,0.09058,0.90942,0.032727,0.914089,0.986904,0.876601
'Keymind - B_SMOTE_37.csv',SMOTE,'RANDOM FOREST',_37,0.963636,0.101449,0.898551,0.036364,0.904437,0.985626,0.862085
'Keymind - B_SMOTE_23.csv',SMOTE,'RANDOM FOREST',_23,0.952727,0.09058,0.90942,0.047273,0.912892,0.985613,0.862079
'Keymind - B_SMOTE_22.csv',SMOTE,'RANDOM FOREST',_22,0.941818,0.094203,0.905797,0.058182,0.908772,0.984203,0.847559
'Keymind - B_SMOTE_36.csv',SMOTE,'RANDOM FOREST',_36,0.970909,0.086957,0.913043,0.029091,0.917526,0.987826,0.883859
'Keymind - B_SMOTE_5.csv',SMOTE,'RANDOM FOREST',_5,0.956364,0.09058,0.90942,0.043636,0.913194,0.98587,0.86571
'Keymind - B_SMOTE_7.csv',SMOTE,'RANDOM FOREST',_7,0.981818,0.094203,0.905797,0.018182,0.912162,0.988814,0.887493
'Keymind - B_SMOTE_20.csv',SMOTE,'RANDOM FOREST',_20,0.974545,0.094203,0.905797,0.025455,0.911565,0.98637,0.880232
'Keymind - B_SMOTE_34.csv',SMOTE,'RANDOM FOREST',_34,0.963636,0.083333,0.916667,0.036364,0.920139,0.986469,0.880228
