Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
Keymind-A_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.825826,0.6,0.4,0.174174,0.779037,0.766604,0.236937
Keymind-A_OVERSAMPLED_38.csv,OVERSAMPLED,'RANDOM FOREST',_38,0.840841,0.045045,0.954955,0.159159,0.949153,0.960131,0.795796
Keymind-A_OVERSAMPLED_10.csv,OVERSAMPLED,'RANDOM FOREST',_10,0.864865,0.045045,0.954955,0.135135,0.950495,0.965867,0.81982
Keymind-A_OVERSAMPLED_11.csv,OVERSAMPLED,'RANDOM FOREST',_11,0.87988,0.045045,0.954955,0.12012,0.951299,0.963959,0.834835
Keymind-A_OVERSAMPLED_39.csv,OVERSAMPLED,'RANDOM FOREST',_39,0.846847,0.087087,0.912913,0.153153,0.906752,0.958794,0.75976
Keymind-A_OVERSAMPLED_13.csv,OVERSAMPLED,'RANDOM FOREST',_13,0.861862,0.078078,0.921922,0.138138,0.916933,0.958143,0.783784
Keymind-A_OVERSAMPLED_12.csv,OVERSAMPLED,'RANDOM FOREST',_12,0.897898,0.048048,0.951952,0.102102,0.949206,0.96542,0.84985
Keymind-A_OVERSAMPLED_16.csv,OVERSAMPLED,'RANDOM FOREST',_16,0.876877,0.069069,0.930931,0.123123,0.926984,0.965691,0.807808
Keymind-A_OVERSAMPLED_17.csv,OVERSAMPLED,'RANDOM FOREST',_17,0.894895,0.069069,0.930931,0.105105,0.928349,0.968227,0.825826
Keymind-A_OVERSAMPLED_15.csv,OVERSAMPLED,'RANDOM FOREST',_15,0.918919,0.054054,0.945946,0.081081,0.944444,0.969663,0.864865
Keymind-A_OVERSAMPLED_29.csv,OVERSAMPLED,'RANDOM FOREST',_29,0.867868,0.054054,0.945946,0.132132,0.941368,0.958864,0.813814
Keymind-A_OVERSAMPLED_28.csv,OVERSAMPLED,'RANDOM FOREST',_28,0.873874,0.048048,0.951952,0.126126,0.947883,0.96579,0.825826
Keymind-A_OVERSAMPLED_14.csv,OVERSAMPLED,'RANDOM FOREST',_14,0.843844,0.093093,0.906907,0.156156,0.900641,0.958715,0.750751
Keymind-A_OVERSAMPLED_73.csv,OVERSAMPLED,'RANDOM FOREST',_73,0.864865,0.045045,0.954955,0.135135,0.950495,0.971778,0.81982
Keymind-A_OVERSAMPLED_67.csv,OVERSAMPLED,'RANDOM FOREST',_67,0.84985,0.069069,0.930931,0.15015,0.924837,0.963288,0.780781
Keymind-A_OVERSAMPLED_98.csv,OVERSAMPLED,'RANDOM FOREST',_98,0.876877,0.054054,0.945946,0.123123,0.941935,0.97075,0.822823
Keymind-A_OVERSAMPLED_99.csv,OVERSAMPLED,'RANDOM FOREST',_99,0.888889,0.069069,0.930931,0.111111,0.9279,0.959942,0.81982
Keymind-A_OVERSAMPLED_66.csv,OVERSAMPLED,'RANDOM FOREST',_66,0.870871,0.066066,0.933934,0.129129,0.929487,0.968816,0.804805
Keymind-A_OVERSAMPLED_72.csv,OVERSAMPLED,'RANDOM FOREST',_72,0.891892,0.075075,0.924925,0.108108,0.92236,0.961281,0.816817
Keymind-A_OVERSAMPLED_58.csv,OVERSAMPLED,'RANDOM FOREST',_58,0.864865,0.075075,0.924925,0.135135,0.920128,0.961646,0.78979
Keymind-A_OVERSAMPLED_64.csv,OVERSAMPLED,'RANDOM FOREST',_64,0.867868,0.069069,0.930931,0.132132,0.926282,0.964681,0.798799
Keymind-A_OVERSAMPLED_70.csv,OVERSAMPLED,'RANDOM FOREST',_70,0.876877,0.048048,0.951952,0.123123,0.948052,0.966719,0.828829
Keymind-A_OVERSAMPLED_9.csv,OVERSAMPLED,'RANDOM FOREST',_9,0.888889,0.081081,0.918919,0.111111,0.916409,0.958648,0.807808
Keymind-A_OVERSAMPLED_8.csv,OVERSAMPLED,'RANDOM FOREST',_8,0.873874,0.069069,0.930931,0.126126,0.926752,0.963554,0.804805
Keymind-A_OVERSAMPLED_71.csv,OVERSAMPLED,'RANDOM FOREST',_71,0.867868,0.048048,0.951952,0.132132,0.947541,0.968383,0.81982
Keymind-A_OVERSAMPLED_65.csv,OVERSAMPLED,'RANDOM FOREST',_65,0.882883,0.042042,0.957958,0.117117,0.954545,0.965078,0.840841
Keymind-A_OVERSAMPLED_59.csv,OVERSAMPLED,'RANDOM FOREST',_59,0.873874,0.048048,0.951952,0.126126,0.947883,0.960988,0.825826
Keymind-A_OVERSAMPLED_61.csv,OVERSAMPLED,'RANDOM FOREST',_61,0.882883,0.075075,0.924925,0.117117,0.92163,0.9601,0.807808
Keymind-A_OVERSAMPLED_75.csv,OVERSAMPLED,'RANDOM FOREST',_75,0.885886,0.069069,0.930931,0.114114,0.927673,0.966827,0.816817
Keymind-A_OVERSAMPLED_49.csv,OVERSAMPLED,'RANDOM FOREST',_49,0.87988,0.051051,0.948949,0.12012,0.945161,0.95927,0.828829
Keymind-A_OVERSAMPLED_48.csv,OVERSAMPLED,'RANDOM FOREST',_48,0.894895,0.072072,0.927928,0.105105,0.925466,0.965964,0.822823
Keymind-A_OVERSAMPLED_74.csv,OVERSAMPLED,'RANDOM FOREST',_74,0.882883,0.051051,0.948949,0.117117,0.945338,0.966439,0.831832
Keymind-A_OVERSAMPLED_60.csv,OVERSAMPLED,'RANDOM FOREST',_60,0.852853,0.06006,0.93994,0.147147,0.934211,0.955185,0.792793
Keymind-A_OVERSAMPLED_76.csv,OVERSAMPLED,'RANDOM FOREST',_76,0.867868,0.084084,0.915916,0.132132,0.911672,0.959685,0.783784
Keymind-A_OVERSAMPLED_62.csv,OVERSAMPLED,'RANDOM FOREST',_62,0.864865,0.066066,0.933934,0.135135,0.929032,0.955496,0.798799
Keymind-A_OVERSAMPLED_89.csv,OVERSAMPLED,'RANDOM FOREST',_89,0.894895,0.057057,0.942943,0.105105,0.940063,0.96859,0.837838
Keymind-A_OVERSAMPLED_88.csv,OVERSAMPLED,'RANDOM FOREST',_88,0.90991,0.054054,0.945946,0.09009,0.943925,0.964564,0.855856
Keymind-A_OVERSAMPLED_63.csv,OVERSAMPLED,'RANDOM FOREST',_63,0.861862,0.066066,0.933934,0.138138,0.928803,0.963923,0.795796
Keymind-A_OVERSAMPLED_77.csv,OVERSAMPLED,'RANDOM FOREST',_77,0.888889,0.048048,0.951952,0.111111,0.948718,0.968401,0.840841
Keymind-A_OVERSAMPLED_52.csv,OVERSAMPLED,'RANDOM FOREST',_52,0.873874,0.057057,0.942943,0.126126,0.93871,0.953408,0.816817
Keymind-A_OVERSAMPLED_46.csv,OVERSAMPLED,'RANDOM FOREST',_46,0.876877,0.075075,0.924925,0.123123,0.921136,0.965141,0.801802
Keymind-A_OVERSAMPLED_91.csv,OVERSAMPLED,'RANDOM FOREST',_91,0.894895,0.051051,0.948949,0.105105,0.946032,0.973095,0.843844
Keymind-A_OVERSAMPLED_85.csv,OVERSAMPLED,'RANDOM FOREST',_85,0.90991,0.069069,0.930931,0.09009,0.929448,0.982879,0.840841
Keymind-A_OVERSAMPLED_3.csv,OVERSAMPLED,'RANDOM FOREST',_3,0.903904,0.078078,0.921922,0.096096,0.920489,0.969217,0.825826
Keymind-A_OVERSAMPLED_2.csv,OVERSAMPLED,'RANDOM FOREST',_2,0.858859,0.048048,0.951952,0.141141,0.94702,0.951469,0.810811
Keymind-A_OVERSAMPLED_84.csv,OVERSAMPLED,'RANDOM FOREST',_84,0.870871,0.066066,0.933934,0.129129,0.929487,0.955798,0.804805
Keymind-A_OVERSAMPLED_90.csv,OVERSAMPLED,'RANDOM FOREST',_90,0.894895,0.054054,0.945946,0.105105,0.943038,0.966318,0.840841
Keymind-A_OVERSAMPLED_47.csv,OVERSAMPLED,'RANDOM FOREST',_47,0.888889,0.057057,0.942943,0.111111,0.939683,0.960898,0.831832
Keymind-A_OVERSAMPLED_53.csv,OVERSAMPLED,'RANDOM FOREST',_53,0.846847,0.045045,0.954955,0.153153,0.949495,0.957877,0.801802
Keymind-A_OVERSAMPLED_79.csv,OVERSAMPLED,'RANDOM FOREST',_79,0.861862,0.066066,0.933934,0.138138,0.928803,0.962284,0.795796
Keymind-A_OVERSAMPLED_45.csv,OVERSAMPLED,'RANDOM FOREST',_45,0.87988,0.039039,0.960961,0.12012,0.957516,0.97475,0.840841
Keymind-A_OVERSAMPLED_51.csv,OVERSAMPLED,'RANDOM FOREST',_51,0.876877,0.066066,0.933934,0.123123,0.929936,0.973149,0.810811
Keymind-A_OVERSAMPLED_86.csv,OVERSAMPLED,'RANDOM FOREST',_86,0.885886,0.033033,0.966967,0.114114,0.964052,0.968928,0.852853
Keymind-A_OVERSAMPLED_92.csv,OVERSAMPLED,'RANDOM FOREST',_92,0.888889,0.054054,0.945946,0.111111,0.942675,0.965172,0.834835
Keymind-A_OVERSAMPLED_0.csv,OVERSAMPLED,'RANDOM FOREST',_0,0.858859,0.039039,0.960961,0.141141,0.956522,0.961493,0.81982
Keymind-A_OVERSAMPLED_1.csv,OVERSAMPLED,'RANDOM FOREST',_1,0.882883,0.042042,0.957958,0.117117,0.954545,0.968162,0.840841
Keymind-A_OVERSAMPLED_93.csv,OVERSAMPLED,'RANDOM FOREST',_93,0.867868,0.057057,0.942943,0.132132,0.938312,0.970358,0.810811
Keymind-A_OVERSAMPLED_87.csv,OVERSAMPLED,'RANDOM FOREST',_87,0.894895,0.084084,0.915916,0.105105,0.91411,0.96848,0.810811
Keymind-A_OVERSAMPLED_50.csv,OVERSAMPLED,'RANDOM FOREST',_50,0.894895,0.048048,0.951952,0.105105,0.949045,0.972224,0.846847
Keymind-A_OVERSAMPLED_44.csv,OVERSAMPLED,'RANDOM FOREST',_44,0.885886,0.045045,0.954955,0.114114,0.951613,0.956923,0.840841
Keymind-A_OVERSAMPLED_78.csv,OVERSAMPLED,'RANDOM FOREST',_78,0.876877,0.042042,0.957958,0.123123,0.954248,0.976625,0.834835
Keymind-A_OVERSAMPLED_40.csv,OVERSAMPLED,'RANDOM FOREST',_40,0.852853,0.066066,0.933934,0.147147,0.928105,0.957597,0.786787
Keymind-A_OVERSAMPLED_54.csv,OVERSAMPLED,'RANDOM FOREST',_54,0.867868,0.06006,0.93994,0.132132,0.935275,0.967815,0.807808
Keymind-A_OVERSAMPLED_68.csv,OVERSAMPLED,'RANDOM FOREST',_68,0.858859,0.057057,0.942943,0.141141,0.937705,0.962219,0.801802
Keymind-A_OVERSAMPLED_83.csv,OVERSAMPLED,'RANDOM FOREST',_83,0.87988,0.045045,0.954955,0.12012,0.951299,0.963049,0.834835
Keymind-A_OVERSAMPLED_97.csv,OVERSAMPLED,'RANDOM FOREST',_97,0.867868,0.075075,0.924925,0.132132,0.920382,0.962363,0.792793
Keymind-A_OVERSAMPLED_5.csv,OVERSAMPLED,'RANDOM FOREST',_5,0.891892,0.054054,0.945946,0.108108,0.942857,0.971494,0.837838
Keymind-A_OVERSAMPLED_4.csv,OVERSAMPLED,'RANDOM FOREST',_4,0.882883,0.042042,0.957958,0.117117,0.954545,0.972529,0.840841
Keymind-A_OVERSAMPLED_96.csv,OVERSAMPLED,'RANDOM FOREST',_96,0.852853,0.057057,0.942943,0.147147,0.937294,0.963094,0.795796
Keymind-A_OVERSAMPLED_82.csv,OVERSAMPLED,'RANDOM FOREST',_82,0.864865,0.051051,0.948949,0.135135,0.944262,0.960203,0.813814
Keymind-A_OVERSAMPLED_69.csv,OVERSAMPLED,'RANDOM FOREST',_69,0.867868,0.063063,0.936937,0.132132,0.932258,0.958125,0.804805
Keymind-A_OVERSAMPLED_55.csv,OVERSAMPLED,'RANDOM FOREST',_55,0.870871,0.075075,0.924925,0.129129,0.920635,0.957029,0.795796
Keymind-A_OVERSAMPLED_41.csv,OVERSAMPLED,'RANDOM FOREST',_41,0.885886,0.078078,0.921922,0.114114,0.919003,0.970791,0.807808
Keymind-A_OVERSAMPLED_57.csv,OVERSAMPLED,'RANDOM FOREST',_57,0.888889,0.042042,0.957958,0.111111,0.954839,0.976368,0.846847
