Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
ant_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.342593,0.071111,0.928889,0.657407,0.536232,0.794859,0.31466
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,'RANDOM FOREST',_3,0.712963,0.296296,0.703704,0.287037,0.706422,0.766343,0.416667
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,'RANDOM FOREST',_14,0.740741,0.291667,0.708333,0.259259,0.717489,0.776878,0.449074
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,'RANDOM FOREST',_28,0.680556,0.296296,0.703704,0.319444,0.696682,0.733678,0.384259
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,'RANDOM FOREST',_29,0.694444,0.291667,0.708333,0.305556,0.704225,0.761199,0.402778
ant_UNDERSAMPLED_15.csv,UNDERSAMPLED,'RANDOM FOREST',_15,0.689815,0.310185,0.689815,0.310185,0.689815,0.721386,0.37963
ant_UNDERSAMPLED_2.csv,UNDERSAMPLED,'RANDOM FOREST',_2,0.699074,0.259259,0.740741,0.300926,0.729469,0.769515,0.439815
ant_UNDERSAMPLED_0.csv,UNDERSAMPLED,'RANDOM FOREST',_0,0.726852,0.277778,0.722222,0.273148,0.723502,0.767725,0.449074
ant_UNDERSAMPLED_17.csv,UNDERSAMPLED,'RANDOM FOREST',_17,0.717593,0.263889,0.736111,0.282407,0.731132,0.786319,0.453704
ant_UNDERSAMPLED_16.csv,UNDERSAMPLED,'RANDOM FOREST',_16,0.726852,0.305556,0.694444,0.273148,0.704036,0.763771,0.421296
ant_UNDERSAMPLED_1.csv,UNDERSAMPLED,'RANDOM FOREST',_1,0.689815,0.25,0.75,0.310185,0.73399,0.767843,0.439815
ant_UNDERSAMPLED_5.csv,UNDERSAMPLED,'RANDOM FOREST',_5,0.662037,0.277778,0.722222,0.337963,0.704433,0.753997,0.384259
ant_UNDERSAMPLED_12.csv,UNDERSAMPLED,'RANDOM FOREST',_12,0.74537,0.263889,0.736111,0.25463,0.738532,0.797507,0.481481
ant_UNDERSAMPLED_13.csv,UNDERSAMPLED,'RANDOM FOREST',_13,0.722222,0.268519,0.731481,0.277778,0.728972,0.771048,0.453704
ant_UNDERSAMPLED_4.csv,UNDERSAMPLED,'RANDOM FOREST',_4,0.671296,0.282407,0.717593,0.328704,0.703883,0.750311,0.388889
ant_UNDERSAMPLED_6.csv,UNDERSAMPLED,'RANDOM FOREST',_6,0.689815,0.277778,0.722222,0.310185,0.712919,0.768272,0.412037
ant_UNDERSAMPLED_39.csv,UNDERSAMPLED,'RANDOM FOREST',_39,0.694444,0.263889,0.736111,0.305556,0.724638,0.763857,0.430556
ant_UNDERSAMPLED_11.csv,UNDERSAMPLED,'RANDOM FOREST',_11,0.694444,0.277778,0.722222,0.305556,0.714286,0.766386,0.416667
ant_UNDERSAMPLED_10.csv,UNDERSAMPLED,'RANDOM FOREST',_10,0.712963,0.263889,0.736111,0.287037,0.729858,0.781036,0.449074
ant_UNDERSAMPLED_38.csv,UNDERSAMPLED,'RANDOM FOREST',_38,0.699074,0.282407,0.717593,0.300926,0.712264,0.771819,0.416667
ant_UNDERSAMPLED_7.csv,UNDERSAMPLED,'RANDOM FOREST',_7,0.708333,0.25,0.75,0.291667,0.73913,0.780178,0.458333
ant_UNDERSAMPLED_88.csv,UNDERSAMPLED,'RANDOM FOREST',_88,0.712963,0.268519,0.731481,0.287037,0.726415,0.775302,0.444444
ant_UNDERSAMPLED_77.csv,UNDERSAMPLED,'RANDOM FOREST',_77,0.703704,0.240741,0.759259,0.296296,0.745098,0.761874,0.462963
ant_UNDERSAMPLED_63.csv,UNDERSAMPLED,'RANDOM FOREST',_63,0.675926,0.300926,0.699074,0.324074,0.691943,0.75344,0.375
ant_UNDERSAMPLED_62.csv,UNDERSAMPLED,'RANDOM FOREST',_62,0.708333,0.226852,0.773148,0.291667,0.757426,0.791999,0.481481
ant_UNDERSAMPLED_76.csv,UNDERSAMPLED,'RANDOM FOREST',_76,0.703704,0.277778,0.722222,0.296296,0.716981,0.779642,0.425926
ant_UNDERSAMPLED_89.csv,UNDERSAMPLED,'RANDOM FOREST',_89,0.731481,0.328704,0.671296,0.268519,0.689956,0.750622,0.402778
ant_UNDERSAMPLED_60.csv,UNDERSAMPLED,'RANDOM FOREST',_60,0.731481,0.25,0.75,0.268519,0.745283,0.802137,0.481481
ant_UNDERSAMPLED_74.csv,UNDERSAMPLED,'RANDOM FOREST',_74,0.731481,0.25,0.75,0.268519,0.745283,0.787723,0.481481
ant_UNDERSAMPLED_48.csv,UNDERSAMPLED,'RANDOM FOREST',_48,0.680556,0.273148,0.726852,0.319444,0.713592,0.783415,0.407407
ant_UNDERSAMPLED_49.csv,UNDERSAMPLED,'RANDOM FOREST',_49,0.694444,0.319444,0.680556,0.305556,0.684932,0.762249,0.375
ant_UNDERSAMPLED_75.csv,UNDERSAMPLED,'RANDOM FOREST',_75,0.712963,0.273148,0.726852,0.287037,0.723005,0.777842,0.439815
ant_UNDERSAMPLED_61.csv,UNDERSAMPLED,'RANDOM FOREST',_61,0.726852,0.273148,0.726852,0.273148,0.726852,0.760685,0.453704
ant_UNDERSAMPLED_59.csv,UNDERSAMPLED,'RANDOM FOREST',_59,0.74537,0.291667,0.708333,0.25463,0.71875,0.783029,0.453704
ant_UNDERSAMPLED_65.csv,UNDERSAMPLED,'RANDOM FOREST',_65,0.675926,0.328704,0.671296,0.324074,0.672811,0.733271,0.347222
ant_UNDERSAMPLED_71.csv,UNDERSAMPLED,'RANDOM FOREST',_71,0.694444,0.296296,0.703704,0.305556,0.700935,0.760267,0.398148
ant_UNDERSAMPLED_70.csv,UNDERSAMPLED,'RANDOM FOREST',_70,0.759259,0.296296,0.703704,0.240741,0.719298,0.753397,0.462963
ant_UNDERSAMPLED_64.csv,UNDERSAMPLED,'RANDOM FOREST',_64,0.699074,0.287037,0.712963,0.300926,0.70892,0.761553,0.412037
ant_UNDERSAMPLED_58.csv,UNDERSAMPLED,'RANDOM FOREST',_58,0.731481,0.240741,0.759259,0.268519,0.752381,0.797582,0.490741
