Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
camel_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.321053,0.042553,0.957447,0.678947,0.663043,0.808757,0.344095
camel_OVERSAMPLED_99.csv,OVERSAMPLED,'RANDOM FOREST',_99,0.981469,0.059025,0.940975,0.018531,0.943272,0.995846,0.922443
camel_OVERSAMPLED_72.csv,OVERSAMPLED,'RANDOM FOREST',_72,0.977351,0.068634,0.931366,0.022649,0.934383,0.994149,0.908717
camel_OVERSAMPLED_66.csv,OVERSAMPLED,'RANDOM FOREST',_66,0.986273,0.057653,0.942347,0.013727,0.944773,0.995755,0.92862
camel_OVERSAMPLED_67.csv,OVERSAMPLED,'RANDOM FOREST',_67,0.982155,0.05628,0.94372,0.017845,0.945803,0.993714,0.925875
camel_OVERSAMPLED_73.csv,OVERSAMPLED,'RANDOM FOREST',_73,0.985587,0.055594,0.944406,0.014413,0.946605,0.995489,0.929993
camel_OVERSAMPLED_98.csv,OVERSAMPLED,'RANDOM FOREST',_98,0.987646,0.063143,0.936857,0.012354,0.939909,0.99599,0.924502
camel_OVERSAMPLED_59.csv,OVERSAMPLED,'RANDOM FOREST',_59,0.980782,0.052848,0.947152,0.019218,0.948871,0.994753,0.927934
camel_OVERSAMPLED_65.csv,OVERSAMPLED,'RANDOM FOREST',_65,0.978037,0.065889,0.934111,0.021963,0.936884,0.993673,0.912148
camel_OVERSAMPLED_71.csv,OVERSAMPLED,'RANDOM FOREST',_71,0.978037,0.054221,0.945779,0.021963,0.947473,0.994231,0.923816
camel_OVERSAMPLED_70.csv,OVERSAMPLED,'RANDOM FOREST',_70,0.988332,0.057653,0.942347,0.011668,0.944882,0.993243,0.930679
camel_OVERSAMPLED_64.csv,OVERSAMPLED,'RANDOM FOREST',_64,0.989019,0.059025,0.940975,0.010981,0.94368,0.995858,0.929993
camel_OVERSAMPLED_58.csv,OVERSAMPLED,'RANDOM FOREST',_58,0.984214,0.059025,0.940975,0.015786,0.943421,0.994342,0.925189
camel_OVERSAMPLED_60.csv,OVERSAMPLED,'RANDOM FOREST',_60,0.97941,0.051476,0.948524,0.02059,0.950067,0.994259,0.927934
camel_OVERSAMPLED_74.csv,OVERSAMPLED,'RANDOM FOREST',_74,0.981469,0.065889,0.934111,0.018531,0.93709,0.993285,0.91558
camel_OVERSAMPLED_48.csv,OVERSAMPLED,'RANDOM FOREST',_48,0.9849,0.06383,0.93617,0.0151,0.939136,0.995058,0.921071
camel_OVERSAMPLED_49.csv,OVERSAMPLED,'RANDOM FOREST',_49,0.983528,0.050103,0.949897,0.016472,0.951527,0.996135,0.933425
camel_OVERSAMPLED_75.csv,OVERSAMPLED,'RANDOM FOREST',_75,0.983528,0.05628,0.94372,0.016472,0.945875,0.994054,0.927248
camel_OVERSAMPLED_61.csv,OVERSAMPLED,'RANDOM FOREST',_61,0.985587,0.054221,0.945779,0.014413,0.947855,0.995118,0.931366
camel_OVERSAMPLED_88.csv,OVERSAMPLED,'RANDOM FOREST',_88,0.991764,0.06383,0.93617,0.008236,0.939532,0.995483,0.927934
camel_OVERSAMPLED_77.csv,OVERSAMPLED,'RANDOM FOREST',_77,0.982841,0.06383,0.93617,0.017159,0.939016,0.992887,0.919012
camel_OVERSAMPLED_63.csv,OVERSAMPLED,'RANDOM FOREST',_63,0.987646,0.061084,0.938916,0.012354,0.941754,0.996626,0.926561
camel_OVERSAMPLED_62.csv,OVERSAMPLED,'RANDOM FOREST',_62,0.9849,0.05628,0.94372,0.0151,0.945946,0.994863,0.92862
camel_OVERSAMPLED_76.csv,OVERSAMPLED,'RANDOM FOREST',_76,0.983528,0.06383,0.93617,0.016472,0.939056,0.99547,0.919698
camel_OVERSAMPLED_89.csv,OVERSAMPLED,'RANDOM FOREST',_89,0.978037,0.067948,0.932052,0.021963,0.935039,0.993206,0.910089
camel_OVERSAMPLED_39.csv,OVERSAMPLED,'RANDOM FOREST',_39,0.982155,0.062457,0.937543,0.017845,0.94021,0.994326,0.919698
camel_OVERSAMPLED_11.csv,OVERSAMPLED,'RANDOM FOREST',_11,0.980782,0.05628,0.94372,0.019218,0.945731,0.992847,0.924502
camel_OVERSAMPLED_10.csv,OVERSAMPLED,'RANDOM FOREST',_10,0.98696,0.058339,0.941661,0.01304,0.944189,0.995625,0.92862
camel_OVERSAMPLED_38.csv,OVERSAMPLED,'RANDOM FOREST',_38,0.983528,0.067948,0.932052,0.016472,0.935379,0.993527,0.91558
camel_OVERSAMPLED_12.csv,OVERSAMPLED,'RANDOM FOREST',_12,0.980096,0.060398,0.939602,0.019904,0.941953,0.993195,0.919698
camel_OVERSAMPLED_8.csv,OVERSAMPLED,'RANDOM FOREST',_8,0.977351,0.052848,0.947152,0.022649,0.948701,0.995435,0.924502
camel_OVERSAMPLED_9.csv,OVERSAMPLED,'RANDOM FOREST',_9,0.987646,0.072066,0.927934,0.012354,0.931995,0.995494,0.91558
camel_OVERSAMPLED_13.csv,OVERSAMPLED,'RANDOM FOREST',_13,0.975292,0.067261,0.932739,0.024708,0.935484,0.994187,0.90803
camel_OVERSAMPLED_17.csv,OVERSAMPLED,'RANDOM FOREST',_17,0.980096,0.069321,0.930679,0.019904,0.933944,0.993798,0.910776
camel_OVERSAMPLED_16.csv,OVERSAMPLED,'RANDOM FOREST',_16,0.978037,0.066575,0.933425,0.021963,0.936268,0.994227,0.911462
camel_OVERSAMPLED_14.csv,OVERSAMPLED,'RANDOM FOREST',_14,0.983528,0.059025,0.940975,0.016472,0.943384,0.994716,0.924502
camel_OVERSAMPLED_28.csv,OVERSAMPLED,'RANDOM FOREST',_28,0.984214,0.052848,0.947152,0.015786,0.94904,0.993908,0.931366
camel_OVERSAMPLED_29.csv,OVERSAMPLED,'RANDOM FOREST',_29,0.985587,0.059712,0.940288,0.014413,0.942876,0.995265,0.925875
camel_OVERSAMPLED_15.csv,OVERSAMPLED,'RANDOM FOREST',_15,0.983528,0.067948,0.932052,0.016472,0.935379,0.995343,0.91558
camel_OVERSAMPLED_18.csv,OVERSAMPLED,'RANDOM FOREST',_18,0.975292,0.041867,0.958133,0.024708,0.958839,0.994713,0.933425
camel_OVERSAMPLED_30.csv,OVERSAMPLED,'RANDOM FOREST',_30,0.97941,0.054907,0.945093,0.02059,0.946914,0.994184,0.924502
camel_OVERSAMPLED_24.csv,OVERSAMPLED,'RANDOM FOREST',_24,0.980782,0.06383,0.93617,0.019218,0.938896,0.994122,0.916953
camel_OVERSAMPLED_2.csv,OVERSAMPLED,'RANDOM FOREST',_2,0.97941,0.073439,0.926561,0.02059,0.930248,0.993356,0.905971
camel_OVERSAMPLED_3.csv,OVERSAMPLED,'RANDOM FOREST',_3,0.991764,0.056966,0.943034,0.008236,0.945681,0.99543,0.934798
camel_OVERSAMPLED_25.csv,OVERSAMPLED,'RANDOM FOREST',_25,0.982841,0.052848,0.947152,0.017159,0.948973,0.996095,0.929993
camel_OVERSAMPLED_31.csv,OVERSAMPLED,'RANDOM FOREST',_31,0.982841,0.059712,0.940288,0.017159,0.942725,0.994601,0.92313
camel_OVERSAMPLED_19.csv,OVERSAMPLED,'RANDOM FOREST',_19,0.984214,0.057653,0.942347,0.015786,0.944664,0.995453,0.926561
camel_OVERSAMPLED_27.csv,OVERSAMPLED,'RANDOM FOREST',_27,0.982155,0.050103,0.949897,0.017845,0.951463,0.995663,0.932052
camel_OVERSAMPLED_33.csv,OVERSAMPLED,'RANDOM FOREST',_33,0.988332,0.058339,0.941661,0.011668,0.944262,0.996138,0.929993
camel_OVERSAMPLED_1.csv,OVERSAMPLED,'RANDOM FOREST',_1,0.983528,0.06383,0.93617,0.016472,0.939056,0.995711,0.919698
camel_OVERSAMPLED_0.csv,OVERSAMPLED,'RANDOM FOREST',_0,0.981469,0.056966,0.943034,0.018531,0.945142,0.993797,0.924502
camel_OVERSAMPLED_32.csv,OVERSAMPLED,'RANDOM FOREST',_32,0.980096,0.065202,0.934798,0.019904,0.937623,0.993618,0.914894
camel_OVERSAMPLED_26.csv,OVERSAMPLED,'RANDOM FOREST',_26,0.980782,0.059025,0.940975,0.019218,0.943234,0.993961,0.921757
camel_OVERSAMPLED_22.csv,OVERSAMPLED,'RANDOM FOREST',_22,0.984214,0.065202,0.934798,0.015786,0.937868,0.994269,0.919012
camel_OVERSAMPLED_36.csv,OVERSAMPLED,'RANDOM FOREST',_36,0.9849,0.064516,0.935484,0.0151,0.938522,0.994339,0.920384
camel_OVERSAMPLED_4.csv,OVERSAMPLED,'RANDOM FOREST',_4,0.982841,0.062457,0.937543,0.017159,0.94025,0.995067,0.920384
