Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
forrest_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0,0.052632,0.947368,1,0,0.583333,-0.073171
forrest_OVERSAMPLED_17.csv,OVERSAMPLED,'RANDOM FOREST',_17,1,0.078947,0.921053,0,0.926829,0.992382,0.921053
forrest_OVERSAMPLED_6.csv,OVERSAMPLED,'RANDOM FOREST',_6,1,0.078947,0.921053,0,0.926829,0.99723,0.921053
forrest_OVERSAMPLED_7.csv,OVERSAMPLED,'RANDOM FOREST',_7,1,0.157895,0.842105,0,0.863636,1,0.842105
forrest_OVERSAMPLED_16.csv,OVERSAMPLED,'RANDOM FOREST',_16,1,0.157895,0.842105,0,0.863636,0.993075,0.842105
forrest_OVERSAMPLED_28.csv,OVERSAMPLED,'RANDOM FOREST',_28,1,0.026316,0.973684,0,0.974359,0.998615,0.973684
forrest_OVERSAMPLED_14.csv,OVERSAMPLED,'RANDOM FOREST',_14,1,0.078947,0.921053,0,0.926829,1,0.921053
forrest_OVERSAMPLED_5.csv,OVERSAMPLED,'RANDOM FOREST',_5,1,0.026316,0.973684,0,0.974359,0.993421,0.973684
forrest_OVERSAMPLED_4.csv,OVERSAMPLED,'RANDOM FOREST',_4,1,0.052632,0.947368,0,0.95,0.998615,0.947368
forrest_OVERSAMPLED_15.csv,OVERSAMPLED,'RANDOM FOREST',_15,1,0.026316,0.973684,0,0.974359,1,0.973684
forrest_OVERSAMPLED_29.csv,OVERSAMPLED,'RANDOM FOREST',_29,1,0.026316,0.973684,0,0.974359,0.993075,0.973684
forrest_OVERSAMPLED_11.csv,OVERSAMPLED,'RANDOM FOREST',_11,1,0.131579,0.868421,0,0.883721,1,0.868421
forrest_OVERSAMPLED_39.csv,OVERSAMPLED,'RANDOM FOREST',_39,1,0.105263,0.894737,0,0.904762,1,0.894737
forrest_OVERSAMPLED_0.csv,OVERSAMPLED,'RANDOM FOREST',_0,1,0.052632,0.947368,0,0.95,1,0.947368
forrest_OVERSAMPLED_1.csv,OVERSAMPLED,'RANDOM FOREST',_1,1,0.105263,0.894737,0,0.904762,0.99723,0.894737
forrest_OVERSAMPLED_38.csv,OVERSAMPLED,'RANDOM FOREST',_38,1,0.078947,0.921053,0,0.926829,0.998615,0.921053
forrest_OVERSAMPLED_10.csv,OVERSAMPLED,'RANDOM FOREST',_10,1,0.052632,0.947368,0,0.95,0.998615,0.947368
forrest_OVERSAMPLED_12.csv,OVERSAMPLED,'RANDOM FOREST',_12,1,0.078947,0.921053,0,0.926829,0.995152,0.921053
forrest_OVERSAMPLED_3.csv,OVERSAMPLED,'RANDOM FOREST',_3,1,0,1,0,1,1,1
forrest_OVERSAMPLED_2.csv,OVERSAMPLED,'RANDOM FOREST',_2,1,0.052632,0.947368,0,0.95,0.99723,0.947368
forrest_OVERSAMPLED_13.csv,OVERSAMPLED,'RANDOM FOREST',_13,1,0.052632,0.947368,0,0.95,1,0.947368
forrest_OVERSAMPLED_48.csv,OVERSAMPLED,'RANDOM FOREST',_48,1,0.105263,0.894737,0,0.904762,1,0.894737
forrest_OVERSAMPLED_74.csv,OVERSAMPLED,'RANDOM FOREST',_74,1,0.105263,0.894737,0,0.904762,0.995499,0.894737
forrest_OVERSAMPLED_60.csv,OVERSAMPLED,'RANDOM FOREST',_60,1,0.078947,0.921053,0,0.926829,1,0.921053
