Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
ivy_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.48913,0.056452,0.943548,0.51087,0.681818,0.860493,0.484175
ivy_OVERSAMPLED_56.csv,OVERSAMPLED,'RANDOM FOREST',_56,0.997312,0.048387,0.951613,0.002688,0.953728,0.997232,0.948925
ivy_OVERSAMPLED_42.csv,OVERSAMPLED,'RANDOM FOREST',_42,0.994624,0.061828,0.938172,0.005376,0.941476,0.997348,0.932796
ivy_OVERSAMPLED_95.csv,OVERSAMPLED,'RANDOM FOREST',_95,0.989247,0.061828,0.938172,0.010753,0.941176,0.995372,0.927419
ivy_OVERSAMPLED_81.csv,OVERSAMPLED,'RANDOM FOREST',_81,0.986559,0.056452,0.943548,0.013441,0.945876,0.996625,0.930108
ivy_OVERSAMPLED_80.csv,OVERSAMPLED,'RANDOM FOREST',_80,0.981183,0.05914,0.94086,0.018817,0.943152,0.995982,0.922043
ivy_OVERSAMPLED_94.csv,OVERSAMPLED,'RANDOM FOREST',_94,0.975806,0.05914,0.94086,0.024194,0.942857,0.993937,0.916667
ivy_OVERSAMPLED_43.csv,OVERSAMPLED,'RANDOM FOREST',_43,0.994624,0.067204,0.932796,0.005376,0.936709,0.993601,0.927419
ivy_OVERSAMPLED_57.csv,OVERSAMPLED,'RANDOM FOREST',_57,0.989247,0.048387,0.951613,0.010753,0.953368,0.997792,0.94086
ivy_OVERSAMPLED_69.csv,OVERSAMPLED,'RANDOM FOREST',_69,0.986559,0.053763,0.946237,0.013441,0.94832,0.994588,0.932796
ivy_OVERSAMPLED_41.csv,OVERSAMPLED,'RANDOM FOREST',_41,0.994624,0.061828,0.938172,0.005376,0.941476,0.99785,0.932796
ivy_OVERSAMPLED_55.csv,OVERSAMPLED,'RANDOM FOREST',_55,0.983871,0.061828,0.938172,0.016129,0.940874,0.996835,0.922043
ivy_OVERSAMPLED_82.csv,OVERSAMPLED,'RANDOM FOREST',_82,0.989247,0.037634,0.962366,0.010753,0.963351,0.997243,0.951613
ivy_OVERSAMPLED_96.csv,OVERSAMPLED,'RANDOM FOREST',_96,0.983871,0.053763,0.946237,0.016129,0.948187,0.993738,0.930108
ivy_OVERSAMPLED_97.csv,OVERSAMPLED,'RANDOM FOREST',_97,0.994624,0.045699,0.954301,0.005376,0.956072,0.997297,0.948925
ivy_OVERSAMPLED_83.csv,OVERSAMPLED,'RANDOM FOREST',_83,0.983871,0.043011,0.956989,0.016129,0.958115,0.996329,0.94086
ivy_OVERSAMPLED_54.csv,OVERSAMPLED,'RANDOM FOREST',_54,0.986559,0.043011,0.956989,0.013441,0.958225,0.99729,0.943548
ivy_OVERSAMPLED_40.csv,OVERSAMPLED,'RANDOM FOREST',_40,0.989247,0.064516,0.935484,0.010753,0.938776,0.996054,0.924731
ivy_OVERSAMPLED_68.csv,OVERSAMPLED,'RANDOM FOREST',_68,0.986559,0.034946,0.965054,0.013441,0.965789,0.993522,0.951613
ivy_OVERSAMPLED_44.csv,OVERSAMPLED,'RANDOM FOREST',_44,0.994624,0.034946,0.965054,0.005376,0.966057,0.998873,0.959677
ivy_OVERSAMPLED_50.csv,OVERSAMPLED,'RANDOM FOREST',_50,0.981183,0.067204,0.932796,0.018817,0.935897,0.996177,0.913978
ivy_OVERSAMPLED_78.csv,OVERSAMPLED,'RANDOM FOREST',_78,0.989247,0.040323,0.959677,0.010753,0.960836,0.995961,0.948925
ivy_OVERSAMPLED_87.csv,OVERSAMPLED,'RANDOM FOREST',_87,0.994624,0.043011,0.956989,0.005376,0.958549,0.998602,0.951613
ivy_OVERSAMPLED_93.csv,OVERSAMPLED,'RANDOM FOREST',_93,0.994624,0.037634,0.962366,0.005376,0.963542,0.997836,0.956989
ivy_OVERSAMPLED_92.csv,OVERSAMPLED,'RANDOM FOREST',_92,0.994624,0.051075,0.948925,0.005376,0.951157,0.997861,0.943548
ivy_OVERSAMPLED_86.csv,OVERSAMPLED,'RANDOM FOREST',_86,0.997312,0.053763,0.946237,0.002688,0.948849,0.994317,0.943548
ivy_OVERSAMPLED_79.csv,OVERSAMPLED,'RANDOM FOREST',_79,0.981183,0.056452,0.943548,0.018817,0.945596,0.995708,0.924731
ivy_OVERSAMPLED_51.csv,OVERSAMPLED,'RANDOM FOREST',_51,0.989247,0.061828,0.938172,0.010753,0.941176,0.997355,0.927419
