Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
log4j_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.747899,0.129944,0.870056,0.252101,0.794643,0.863481,0.623969
log4j_SMOTE_35.csv,SMOTE,'RANDOM FOREST',_35,0.801136,0.158192,0.841808,0.198864,0.83432,0.88707,0.643017
log4j_SMOTE_21.csv,SMOTE,'RANDOM FOREST',_21,0.823864,0.169492,0.830508,0.176136,0.828571,0.893089,0.654383
log4j_SMOTE_20.csv,SMOTE,'RANDOM FOREST',_20,0.806818,0.169492,0.830508,0.193182,0.825581,0.889718,0.637368
log4j_SMOTE_34.csv,SMOTE,'RANDOM FOREST',_34,0.840909,0.152542,0.847458,0.159091,0.845714,0.888225,0.688378
log4j_SMOTE_22.csv,SMOTE,'RANDOM FOREST',_22,0.789773,0.163842,0.836158,0.210227,0.827381,0.887262,0.626011
log4j_SMOTE_36.csv,SMOTE,'RANDOM FOREST',_36,0.823864,0.158192,0.841808,0.176136,0.83815,0.892254,0.665704
log4j_SMOTE_37.csv,SMOTE,'RANDOM FOREST',_37,0.795455,0.180791,0.819209,0.204545,0.813953,0.885834,0.614703
log4j_SMOTE_23.csv,SMOTE,'RANDOM FOREST',_23,0.784091,0.152542,0.847458,0.215909,0.836364,0.887279,0.63166
log4j_SMOTE_27.csv,SMOTE,'RANDOM FOREST',_27,0.806818,0.141243,0.858757,0.193182,0.850299,0.892318,0.665671
log4j_SMOTE_33.csv,SMOTE,'RANDOM FOREST',_33,0.801136,0.158192,0.841808,0.198864,0.83432,0.886797,0.643017
log4j_SMOTE_32.csv,SMOTE,'RANDOM FOREST',_32,0.829545,0.146893,0.853107,0.170455,0.848837,0.893025,0.682697
log4j_SMOTE_26.csv,SMOTE,'RANDOM FOREST',_26,0.806818,0.158192,0.841808,0.193182,0.835294,0.889959,0.648689
log4j_SMOTE_30.csv,SMOTE,'RANDOM FOREST',_30,0.823864,0.158192,0.841808,0.176136,0.83815,0.894004,0.665704
log4j_SMOTE_24.csv,SMOTE,'RANDOM FOREST',_24,0.8125,0.152542,0.847458,0.1875,0.841176,0.893667,0.660021
log4j_SMOTE_18.csv,SMOTE,'RANDOM FOREST',_18,0.818182,0.163842,0.836158,0.181818,0.83237,0.889991,0.654372
log4j_SMOTE_19.csv,SMOTE,'RANDOM FOREST',_19,0.806818,0.158192,0.841808,0.193182,0.835294,0.895962,0.648689
