Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
lucene_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.650909,0.319502,0.680498,0.349091,0.699219,0.723169,0.3298
lucene_SMOTE_0.csv,SMOTE,'RANDOM FOREST',_0,0.629091,0.313869,0.686131,0.370909,0.667954,0.732296,0.315189
lucene_SMOTE_35.csv,SMOTE,'RANDOM FOREST',_35,0.636364,0.284672,0.715328,0.363636,0.6917,0.740372,0.351641
lucene_SMOTE_21.csv,SMOTE,'RANDOM FOREST',_21,0.629091,0.288321,0.711679,0.370909,0.686508,0.735747,0.340718
lucene_SMOTE_20.csv,SMOTE,'RANDOM FOREST',_20,0.647273,0.29562,0.70438,0.352727,0.687259,0.729416,0.351615
lucene_SMOTE_34.csv,SMOTE,'RANDOM FOREST',_34,0.643636,0.310219,0.689781,0.356364,0.675573,0.731148,0.333389
lucene_SMOTE_1.csv,SMOTE,'RANDOM FOREST',_1,0.647273,0.313869,0.686131,0.352727,0.674242,0.735246,0.33338
lucene_SMOTE_3.csv,SMOTE,'RANDOM FOREST',_3,0.64,0.29927,0.70073,0.36,0.682171,0.733099,0.340691
lucene_SMOTE_22.csv,SMOTE,'RANDOM FOREST',_22,0.643636,0.288321,0.711679,0.356364,0.691406,0.732104,0.35527
lucene_SMOTE_36.csv,SMOTE,'RANDOM FOREST',_36,0.625455,0.306569,0.693431,0.374545,0.671875,0.722561,0.318845
lucene_SMOTE_37.csv,SMOTE,'RANDOM FOREST',_37,0.647273,0.29562,0.70438,0.352727,0.687259,0.743928,0.351615
lucene_SMOTE_23.csv,SMOTE,'RANDOM FOREST',_23,0.643636,0.29562,0.70438,0.356364,0.686047,0.736669,0.347977
lucene_SMOTE_2.csv,SMOTE,'RANDOM FOREST',_2,0.643636,0.288321,0.711679,0.356364,0.691406,0.739064,0.35527
lucene_SMOTE_6.csv,SMOTE,'RANDOM FOREST',_6,0.632727,0.29562,0.70438,0.367273,0.682353,0.740743,0.337062
lucene_SMOTE_27.csv,SMOTE,'RANDOM FOREST',_27,0.643636,0.306569,0.693431,0.356364,0.678161,0.73641,0.337036
lucene_SMOTE_33.csv,SMOTE,'RANDOM FOREST',_33,0.643636,0.277372,0.722628,0.356364,0.699605,0.736602,0.366211
lucene_SMOTE_32.csv,SMOTE,'RANDOM FOREST',_32,0.647273,0.284672,0.715328,0.352727,0.695313,0.737976,0.362555
lucene_SMOTE_26.csv,SMOTE,'RANDOM FOREST',_26,0.64,0.310219,0.689781,0.36,0.67433,0.736636,0.32975
lucene_SMOTE_7.csv,SMOTE,'RANDOM FOREST',_7,0.643636,0.30292,0.69708,0.356364,0.680769,0.728902,0.340683
lucene_SMOTE_5.csv,SMOTE,'RANDOM FOREST',_5,0.64,0.288321,0.711679,0.36,0.690196,0.738786,0.351632
lucene_SMOTE_30.csv,SMOTE,'RANDOM FOREST',_30,0.650909,0.291971,0.708029,0.349091,0.69112,0.725766,0.3589
lucene_SMOTE_24.csv,SMOTE,'RANDOM FOREST',_24,0.621818,0.29927,0.70073,0.378182,0.675889,0.732316,0.322501
lucene_SMOTE_18.csv,SMOTE,'RANDOM FOREST',_18,0.64,0.29927,0.70073,0.36,0.682171,0.729854,0.340691
lucene_SMOTE_19.csv,SMOTE,'RANDOM FOREST',_19,0.64,0.306569,0.693431,0.36,0.676923,0.736987,0.333397
lucene_SMOTE_25.csv,SMOTE,'RANDOM FOREST',_25,0.625455,0.306569,0.693431,0.374545,0.671875,0.721871,0.318845
lucene_SMOTE_31.csv,SMOTE,'RANDOM FOREST',_31,0.64,0.29562,0.70438,0.36,0.684825,0.733086,0.344338
lucene_SMOTE_4.csv,SMOTE,'RANDOM FOREST',_4,0.643636,0.291971,0.708029,0.356364,0.688716,0.738328,0.351624
lucene_SMOTE_95.csv,SMOTE,'RANDOM FOREST',_95,0.64,0.324818,0.675182,0.36,0.664151,0.729482,0.315162
lucene_SMOTE_81.csv,SMOTE,'RANDOM FOREST',_81,0.632727,0.284672,0.715328,0.367273,0.690476,0.739741,0.348003
lucene_SMOTE_56.csv,SMOTE,'RANDOM FOREST',_56,0.654545,0.317518,0.682482,0.345455,0.674157,0.737193,0.337009
lucene_SMOTE_42.csv,SMOTE,'RANDOM FOREST',_42,0.636364,0.288321,0.711679,0.363636,0.688976,0.737684,0.347994
lucene_SMOTE_43.csv,SMOTE,'RANDOM FOREST',_43,0.632727,0.291971,0.708029,0.367273,0.685039,0.734784,0.340709
lucene_SMOTE_57.csv,SMOTE,'RANDOM FOREST',_57,0.636364,0.281022,0.718978,0.363636,0.694444,0.742515,0.355288
lucene_SMOTE_80.csv,SMOTE,'RANDOM FOREST',_80,0.658182,0.291971,0.708029,0.341818,0.693487,0.740823,0.366177
lucene_SMOTE_94.csv,SMOTE,'RANDOM FOREST',_94,0.625455,0.288321,0.711679,0.374545,0.685259,0.738835,0.33708
lucene_SMOTE_82.csv,SMOTE,'RANDOM FOREST',_82,0.654545,0.310219,0.689781,0.345455,0.679245,0.731845,0.344304
lucene_SMOTE_96.csv,SMOTE,'RANDOM FOREST',_96,0.621818,0.30292,0.69708,0.378182,0.673228,0.725259,0.318854
lucene_SMOTE_69.csv,SMOTE,'RANDOM FOREST',_69,0.64,0.310219,0.689781,0.36,0.67433,0.733527,0.32975
lucene_SMOTE_41.csv,SMOTE,'RANDOM FOREST',_41,0.654545,0.310219,0.689781,0.345455,0.679245,0.733407,0.344304
lucene_SMOTE_55.csv,SMOTE,'RANDOM FOREST',_55,0.632727,0.30292,0.69708,0.367273,0.677043,0.73574,0.329768
lucene_SMOTE_54.csv,SMOTE,'RANDOM FOREST',_54,0.632727,0.288321,0.711679,0.367273,0.687747,0.73563,0.344356
lucene_SMOTE_40.csv,SMOTE,'RANDOM FOREST',_40,0.629091,0.306569,0.693431,0.370909,0.673152,0.737492,0.322483
lucene_SMOTE_68.csv,SMOTE,'RANDOM FOREST',_68,0.643636,0.29927,0.70073,0.356364,0.683398,0.738454,0.34433
lucene_SMOTE_97.csv,SMOTE,'RANDOM FOREST',_97,0.618182,0.284672,0.715328,0.381818,0.685484,0.732402,0.333451
lucene_SMOTE_83.csv,SMOTE,'RANDOM FOREST',_83,0.625455,0.291971,0.708029,0.374545,0.68254,0.734625,0.333433
lucene_SMOTE_87.csv,SMOTE,'RANDOM FOREST',_87,0.625455,0.306569,0.693431,0.374545,0.671875,0.72562,0.318845
lucene_SMOTE_93.csv,SMOTE,'RANDOM FOREST',_93,0.654545,0.313869,0.686131,0.345455,0.676692,0.742127,0.340656
lucene_SMOTE_44.csv,SMOTE,'RANDOM FOREST',_44,0.629091,0.313869,0.686131,0.370909,0.667954,0.733855,0.315189
lucene_SMOTE_50.csv,SMOTE,'RANDOM FOREST',_50,0.636364,0.29927,0.70073,0.363636,0.680934,0.734632,0.337053
lucene_SMOTE_78.csv,SMOTE,'RANDOM FOREST',_78,0.629091,0.306569,0.693431,0.370909,0.673152,0.737399,0.322483
lucene_SMOTE_79.csv,SMOTE,'RANDOM FOREST',_79,0.643636,0.29562,0.70438,0.356364,0.686047,0.734287,0.347977
lucene_SMOTE_51.csv,SMOTE,'RANDOM FOREST',_51,0.632727,0.29927,0.70073,0.367273,0.679688,0.731685,0.333415
lucene_SMOTE_45.csv,SMOTE,'RANDOM FOREST',_45,0.64,0.29927,0.70073,0.36,0.682171,0.734366,0.340691
lucene_SMOTE_92.csv,SMOTE,'RANDOM FOREST',_92,0.632727,0.281022,0.718978,0.367273,0.693227,0.733723,0.351649
lucene_SMOTE_86.csv,SMOTE,'RANDOM FOREST',_86,0.647273,0.310219,0.689781,0.352727,0.676806,0.724582,0.337027
lucene_SMOTE_90.csv,SMOTE,'RANDOM FOREST',_90,0.64,0.310219,0.689781,0.36,0.67433,0.729615,0.32975
lucene_SMOTE_84.csv,SMOTE,'RANDOM FOREST',_84,0.629091,0.270073,0.729927,0.370909,0.700405,0.739078,0.358951
lucene_SMOTE_53.csv,SMOTE,'RANDOM FOREST',_53,0.636364,0.284672,0.715328,0.363636,0.6917,0.735355,0.351641
lucene_SMOTE_47.csv,SMOTE,'RANDOM FOREST',_47,0.654545,0.29562,0.70438,0.345455,0.689655,0.739927,0.358892
lucene_SMOTE_46.csv,SMOTE,'RANDOM FOREST',_46,0.64,0.29927,0.70073,0.36,0.682171,0.742399,0.340691
lucene_SMOTE_52.csv,SMOTE,'RANDOM FOREST',_52,0.629091,0.306569,0.693431,0.370909,0.673152,0.73787,0.322483
lucene_SMOTE_85.csv,SMOTE,'RANDOM FOREST',_85,0.647273,0.317518,0.682482,0.352727,0.671698,0.7299,0.329733
lucene_SMOTE_91.csv,SMOTE,'RANDOM FOREST',_91,0.64,0.291971,0.708029,0.36,0.6875,0.73854,0.347985
lucene_SMOTE_88.csv,SMOTE,'RANDOM FOREST',_88,0.658182,0.281022,0.718978,0.341818,0.70155,0.739997,0.377117
lucene_SMOTE_77.csv,SMOTE,'RANDOM FOREST',_77,0.629091,0.288321,0.711679,0.370909,0.686508,0.740246,0.340718
lucene_SMOTE_63.csv,SMOTE,'RANDOM FOREST',_63,0.643636,0.29927,0.70073,0.356364,0.683398,0.733477,0.34433
lucene_SMOTE_62.csv,SMOTE,'RANDOM FOREST',_62,0.643636,0.310219,0.689781,0.356364,0.675573,0.728497,0.333389
lucene_SMOTE_76.csv,SMOTE,'RANDOM FOREST',_76,0.632727,0.291971,0.708029,0.367273,0.685039,0.730683,0.340709
lucene_SMOTE_89.csv,SMOTE,'RANDOM FOREST',_89,0.614545,0.277372,0.722628,0.385455,0.689796,0.734967,0.337106
lucene_SMOTE_48.csv,SMOTE,'RANDOM FOREST',_48,0.64,0.306569,0.693431,0.36,0.676923,0.734572,0.333397
lucene_SMOTE_60.csv,SMOTE,'RANDOM FOREST',_60,0.610909,0.310219,0.689781,0.389091,0.664032,0.730856,0.300646
lucene_SMOTE_74.csv,SMOTE,'RANDOM FOREST',_74,0.636364,0.313869,0.686131,0.363636,0.670498,0.737508,0.322465
lucene_SMOTE_75.csv,SMOTE,'RANDOM FOREST',_75,0.64,0.30292,0.69708,0.36,0.679537,0.738202,0.337045
lucene_SMOTE_61.csv,SMOTE,'RANDOM FOREST',_61,0.636364,0.284672,0.715328,0.363636,0.6917,0.736427,0.351641
lucene_SMOTE_49.csv,SMOTE,'RANDOM FOREST',_49,0.621818,0.29562,0.70438,0.378182,0.678571,0.73217,0.326148
lucene_SMOTE_65.csv,SMOTE,'RANDOM FOREST',_65,0.643636,0.270073,0.729927,0.356364,0.705179,0.7392,0.373504
lucene_SMOTE_71.csv,SMOTE,'RANDOM FOREST',_71,0.632727,0.306569,0.693431,0.367273,0.674419,0.723756,0.326121
lucene_SMOTE_59.csv,SMOTE,'RANDOM FOREST',_59,0.621818,0.291971,0.708029,0.378182,0.681275,0.73998,0.329795
lucene_SMOTE_58.csv,SMOTE,'RANDOM FOREST',_58,0.64,0.284672,0.715328,0.36,0.692913,0.738869,0.355279
lucene_SMOTE_70.csv,SMOTE,'RANDOM FOREST',_70,0.629091,0.288321,0.711679,0.370909,0.686508,0.733242,0.340718
