Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
pbeans_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.73913,0.148148,0.851852,0.26087,0.809524,0.825282,0.594814
pbeans_UNDERSAMPLED_11.csv,UNDERSAMPLED,'RANDOM FOREST',_11,0.695652,0.26087,0.73913,0.304348,0.727273,0.758979,0.434783
pbeans_UNDERSAMPLED_39.csv,UNDERSAMPLED,'RANDOM FOREST',_39,0.782609,0.217391,0.782609,0.217391,0.782609,0.824197,0.565217
pbeans_UNDERSAMPLED_38.csv,UNDERSAMPLED,'RANDOM FOREST',_38,0.73913,0.217391,0.782609,0.26087,0.772727,0.784499,0.521739
pbeans_UNDERSAMPLED_10.csv,UNDERSAMPLED,'RANDOM FOREST',_10,0.782609,0.217391,0.782609,0.217391,0.782609,0.825142,0.565217
pbeans_UNDERSAMPLED_12.csv,UNDERSAMPLED,'RANDOM FOREST',_12,0.826087,0.173913,0.826087,0.173913,0.826087,0.844991,0.652174
pbeans_UNDERSAMPLED_13.csv,UNDERSAMPLED,'RANDOM FOREST',_13,0.826087,0.173913,0.826087,0.173913,0.826087,0.846881,0.652174
pbeans_UNDERSAMPLED_17.csv,UNDERSAMPLED,'RANDOM FOREST',_17,0.782609,0.173913,0.826087,0.217391,0.818182,0.827977,0.608696
pbeans_UNDERSAMPLED_16.csv,UNDERSAMPLED,'RANDOM FOREST',_16,0.782609,0.217391,0.782609,0.217391,0.782609,0.810964,0.565217
pbeans_UNDERSAMPLED_28.csv,UNDERSAMPLED,'RANDOM FOREST',_28,0.73913,0.217391,0.782609,0.26087,0.772727,0.846881,0.521739
pbeans_UNDERSAMPLED_14.csv,UNDERSAMPLED,'RANDOM FOREST',_14,0.695652,0.173913,0.826087,0.304348,0.8,0.824197,0.521739
pbeans_UNDERSAMPLED_15.csv,UNDERSAMPLED,'RANDOM FOREST',_15,0.782609,0.173913,0.826087,0.217391,0.818182,0.771267,0.608696
pbeans_UNDERSAMPLED_29.csv,UNDERSAMPLED,'RANDOM FOREST',_29,0.782609,0.173913,0.826087,0.217391,0.818182,0.832703,0.608696
pbeans_UNDERSAMPLED_72.csv,UNDERSAMPLED,'RANDOM FOREST',_72,0.695652,0.217391,0.782609,0.304348,0.761905,0.801512,0.478261
pbeans_UNDERSAMPLED_66.csv,UNDERSAMPLED,'RANDOM FOREST',_66,0.826087,0.217391,0.782609,0.173913,0.791667,0.844045,0.608696
pbeans_UNDERSAMPLED_99.csv,UNDERSAMPLED,'RANDOM FOREST',_99,0.826087,0.130435,0.869565,0.173913,0.863636,0.854442,0.695652
pbeans_UNDERSAMPLED_98.csv,UNDERSAMPLED,'RANDOM FOREST',_98,0.826087,0.26087,0.73913,0.173913,0.76,0.776938,0.565217
pbeans_UNDERSAMPLED_67.csv,UNDERSAMPLED,'RANDOM FOREST',_67,0.565217,0.217391,0.782609,0.434783,0.722222,0.742911,0.347826
pbeans_UNDERSAMPLED_73.csv,UNDERSAMPLED,'RANDOM FOREST',_73,0.869565,0.173913,0.826087,0.130435,0.833333,0.867675,0.695652
pbeans_UNDERSAMPLED_65.csv,UNDERSAMPLED,'RANDOM FOREST',_65,0.782609,0.26087,0.73913,0.217391,0.75,0.821361,0.521739
pbeans_UNDERSAMPLED_71.csv,UNDERSAMPLED,'RANDOM FOREST',_71,0.782609,0.173913,0.826087,0.217391,0.818182,0.793951,0.608696
