Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
synapse_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.347826,0.082569,0.917431,0.652174,0.542373,0.762236,0.304505
synapse_OVERSAMPLED_3.csv,OVERSAMPLED,'RANDOM FOREST',_3,0.981651,0.073394,0.926606,0.018349,0.930435,0.995207,0.908257
synapse_OVERSAMPLED_35.csv,OVERSAMPLED,'RANDOM FOREST',_35,0.981651,0.06422,0.93578,0.018349,0.938596,0.993959,0.917431
synapse_OVERSAMPLED_21.csv,OVERSAMPLED,'RANDOM FOREST',_21,0.969419,0.061162,0.938838,0.030581,0.940653,0.983657,0.908257
synapse_OVERSAMPLED_20.csv,OVERSAMPLED,'RANDOM FOREST',_20,0.987768,0.061162,0.938838,0.012232,0.941691,0.992612,0.926606
synapse_OVERSAMPLED_34.csv,OVERSAMPLED,'RANDOM FOREST',_34,0.963303,0.082569,0.917431,0.036697,0.921053,0.986706,0.880734
synapse_OVERSAMPLED_2.csv,OVERSAMPLED,'RANDOM FOREST',_2,0.987768,0.076453,0.923547,0.012232,0.928161,0.989353,0.911315
synapse_OVERSAMPLED_0.csv,OVERSAMPLED,'RANDOM FOREST',_0,0.975535,0.119266,0.880734,0.024465,0.891061,0.984392,0.856269
synapse_OVERSAMPLED_22.csv,OVERSAMPLED,'RANDOM FOREST',_22,0.975535,0.082569,0.917431,0.024465,0.921965,0.992051,0.892966
synapse_OVERSAMPLED_36.csv,OVERSAMPLED,'RANDOM FOREST',_36,0.972477,0.076453,0.923547,0.027523,0.927114,0.986201,0.896024
synapse_OVERSAMPLED_37.csv,OVERSAMPLED,'RANDOM FOREST',_37,0.978593,0.082569,0.917431,0.021407,0.92219,0.993009,0.896024
synapse_OVERSAMPLED_23.csv,OVERSAMPLED,'RANDOM FOREST',_23,0.987768,0.082569,0.917431,0.012232,0.922857,0.993187,0.905199
synapse_OVERSAMPLED_1.csv,OVERSAMPLED,'RANDOM FOREST',_1,0.984709,0.076453,0.923547,0.015291,0.927954,0.991738,0.908257
synapse_OVERSAMPLED_5.csv,OVERSAMPLED,'RANDOM FOREST',_5,0.990826,0.076453,0.923547,0.009174,0.928367,0.992724,0.914373
synapse_OVERSAMPLED_27.csv,OVERSAMPLED,'RANDOM FOREST',_27,0.978593,0.082569,0.917431,0.021407,0.92219,0.989058,0.896024
synapse_OVERSAMPLED_33.csv,OVERSAMPLED,'RANDOM FOREST',_33,0.981651,0.100917,0.899083,0.018349,0.90678,0.987122,0.880734
synapse_OVERSAMPLED_32.csv,OVERSAMPLED,'RANDOM FOREST',_32,0.987768,0.107034,0.892966,0.012232,0.902235,0.989077,0.880734
synapse_OVERSAMPLED_26.csv,OVERSAMPLED,'RANDOM FOREST',_26,0.978593,0.067278,0.932722,0.021407,0.935673,0.991195,0.911315
synapse_OVERSAMPLED_4.csv,OVERSAMPLED,'RANDOM FOREST',_4,0.981651,0.067278,0.932722,0.018349,0.93586,0.99011,0.914373
synapse_OVERSAMPLED_6.csv,OVERSAMPLED,'RANDOM FOREST',_6,0.972477,0.058104,0.941896,0.027523,0.94362,0.994585,0.914373
synapse_OVERSAMPLED_18.csv,OVERSAMPLED,'RANDOM FOREST',_18,0.972477,0.067278,0.932722,0.027523,0.935294,0.989563,0.905199
synapse_OVERSAMPLED_30.csv,OVERSAMPLED,'RANDOM FOREST',_30,0.990826,0.100917,0.899083,0.009174,0.907563,0.991036,0.889908
synapse_OVERSAMPLED_24.csv,OVERSAMPLED,'RANDOM FOREST',_24,0.969419,0.091743,0.908257,0.030581,0.913545,0.986711,0.877676
synapse_OVERSAMPLED_25.csv,OVERSAMPLED,'RANDOM FOREST',_25,0.975535,0.070336,0.929664,0.024465,0.932749,0.985532,0.905199
