Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
velocity_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.48062,0.099315,0.900685,0.51938,0.681319,0.835311,0.415464
velocity_SMOTE_78.csv,SMOTE,'RANDOM FOREST',_78,0.824742,0.126712,0.873288,0.175258,0.866426,0.922168,0.698087
velocity_SMOTE_44.csv,SMOTE,'RANDOM FOREST',_44,0.814433,0.130137,0.869863,0.185567,0.861818,0.925334,0.68436
velocity_SMOTE_50.csv,SMOTE,'RANDOM FOREST',_50,0.814433,0.126712,0.873288,0.185567,0.864964,0.92534,0.687789
velocity_SMOTE_87.csv,SMOTE,'RANDOM FOREST',_87,0.797251,0.136986,0.863014,0.202749,0.852941,0.922622,0.660338
velocity_SMOTE_93.csv,SMOTE,'RANDOM FOREST',_93,0.817869,0.10274,0.89726,0.182131,0.88806,0.926417,0.715226
velocity_SMOTE_92.csv,SMOTE,'RANDOM FOREST',_92,0.838488,0.113014,0.886986,0.161512,0.880866,0.927258,0.725534
velocity_SMOTE_86.csv,SMOTE,'RANDOM FOREST',_86,0.831615,0.119863,0.880137,0.168385,0.873646,0.925458,0.711811
velocity_SMOTE_51.csv,SMOTE,'RANDOM FOREST',_51,0.814433,0.15411,0.84589,0.185567,0.840426,0.924858,0.660358
velocity_SMOTE_45.csv,SMOTE,'RANDOM FOREST',_45,0.800687,0.099315,0.900685,0.199313,0.889313,0.929912,0.701492
velocity_SMOTE_79.csv,SMOTE,'RANDOM FOREST',_79,0.814433,0.116438,0.883562,0.185567,0.874539,0.927305,0.698077
velocity_SMOTE_53.csv,SMOTE,'RANDOM FOREST',_53,0.817869,0.113014,0.886986,0.182131,0.878229,0.924652,0.704939
velocity_SMOTE_47.csv,SMOTE,'RANDOM FOREST',_47,0.817869,0.119863,0.880137,0.182131,0.871795,0.923157,0.69808
velocity_SMOTE_90.csv,SMOTE,'RANDOM FOREST',_90,0.817869,0.136986,0.863014,0.182131,0.856115,0.925546,0.680935
velocity_SMOTE_84.csv,SMOTE,'RANDOM FOREST',_84,0.824742,0.119863,0.880137,0.175258,0.872727,0.923851,0.704946
velocity_SMOTE_85.csv,SMOTE,'RANDOM FOREST',_85,0.810997,0.126712,0.873288,0.189003,0.864469,0.923887,0.684357
velocity_SMOTE_91.csv,SMOTE,'RANDOM FOREST',_91,0.810997,0.123288,0.876712,0.189003,0.867647,0.920191,0.687786
velocity_SMOTE_46.csv,SMOTE,'RANDOM FOREST',_46,0.810997,0.123288,0.876712,0.189003,0.867647,0.917791,0.687786
velocity_SMOTE_52.csv,SMOTE,'RANDOM FOREST',_52,0.80756,0.14726,0.85274,0.19244,0.845324,0.921804,0.66035
velocity_SMOTE_56.csv,SMOTE,'RANDOM FOREST',_56,0.810997,0.116438,0.883562,0.189003,0.874074,0.920809,0.694644
velocity_SMOTE_42.csv,SMOTE,'RANDOM FOREST',_42,0.810997,0.123288,0.876712,0.189003,0.867647,0.925105,0.687786
velocity_SMOTE_95.csv,SMOTE,'RANDOM FOREST',_95,0.824742,0.119863,0.880137,0.175258,0.872727,0.924252,0.704946
velocity_SMOTE_81.csv,SMOTE,'RANDOM FOREST',_81,0.800687,0.130137,0.869863,0.199313,0.859779,0.926952,0.670629
velocity_SMOTE_80.csv,SMOTE,'RANDOM FOREST',_80,0.814433,0.113014,0.886986,0.185567,0.877778,0.923545,0.701506
