Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
xalan_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.608209,0.136986,0.863014,0.391791,0.720177,0.84754,0.48714
xalan_OVERSAMPLED_10.csv,OVERSAMPLED,'RANDOM FOREST',_10,0.940159,0.086518,0.913482,0.059841,0.91573,0.982263,0.853641
xalan_OVERSAMPLED_38.csv,OVERSAMPLED,'RANDOM FOREST',_38,0.939438,0.085076,0.914924,0.060562,0.91696,0.982404,0.854362
xalan_OVERSAMPLED_39.csv,OVERSAMPLED,'RANDOM FOREST',_39,0.934391,0.094448,0.905552,0.065609,0.908199,0.979138,0.839942
xalan_OVERSAMPLED_11.csv,OVERSAMPLED,'RANDOM FOREST',_11,0.946647,0.093006,0.906994,0.053353,0.910541,0.977885,0.853641
xalan_OVERSAMPLED_13.csv,OVERSAMPLED,'RANDOM FOREST',_13,0.935112,0.079308,0.920692,0.064888,0.921819,0.981392,0.855804
xalan_OVERSAMPLED_12.csv,OVERSAMPLED,'RANDOM FOREST',_12,0.949531,0.092286,0.907714,0.050469,0.911419,0.981846,0.857246
xalan_OVERSAMPLED_16.csv,OVERSAMPLED,'RANDOM FOREST',_16,0.930786,0.085076,0.914924,0.069214,0.916253,0.980214,0.84571
xalan_OVERSAMPLED_17.csv,OVERSAMPLED,'RANDOM FOREST',_17,0.929344,0.084355,0.915645,0.070656,0.916785,0.977981,0.844989
xalan_OVERSAMPLED_29.csv,OVERSAMPLED,'RANDOM FOREST',_29,0.938717,0.08796,0.91204,0.061283,0.914326,0.979243,0.850757
xalan_OVERSAMPLED_15.csv,OVERSAMPLED,'RANDOM FOREST',_15,0.951694,0.089402,0.910598,0.048306,0.914127,0.983134,0.862293
xalan_OVERSAMPLED_14.csv,OVERSAMPLED,'RANDOM FOREST',_14,0.946647,0.093727,0.906273,0.053353,0.90991,0.982929,0.85292
xalan_OVERSAMPLED_28.csv,OVERSAMPLED,'RANDOM FOREST',_28,0.937996,0.092286,0.907714,0.062004,0.910427,0.981964,0.84571
xalan_OVERSAMPLED_0.csv,OVERSAMPLED,'RANDOM FOREST',_0,0.935112,0.089402,0.910598,0.064888,0.912738,0.981578,0.84571
xalan_OVERSAMPLED_67.csv,OVERSAMPLED,'RANDOM FOREST',_67,0.937996,0.090123,0.909877,0.062004,0.912342,0.98075,0.847873
xalan_OVERSAMPLED_73.csv,OVERSAMPLED,'RANDOM FOREST',_73,0.949531,0.083634,0.916366,0.050469,0.919051,0.982482,0.865898
xalan_OVERSAMPLED_98.csv,OVERSAMPLED,'RANDOM FOREST',_98,0.94881,0.08796,0.91204,0.05119,0.91516,0.983265,0.860851
xalan_OVERSAMPLED_99.csv,OVERSAMPLED,'RANDOM FOREST',_99,0.93367,0.080029,0.919971,0.06633,0.921053,0.980387,0.853641
xalan_OVERSAMPLED_72.csv,OVERSAMPLED,'RANDOM FOREST',_72,0.936554,0.092286,0.907714,0.063446,0.910301,0.9794,0.844268
xalan_OVERSAMPLED_66.csv,OVERSAMPLED,'RANDOM FOREST',_66,0.942322,0.090844,0.909156,0.057678,0.912073,0.979738,0.851478
xalan_OVERSAMPLED_1.csv,OVERSAMPLED,'RANDOM FOREST',_1,0.937275,0.108868,0.891132,0.062725,0.895934,0.975387,0.828407
xalan_OVERSAMPLED_3.csv,OVERSAMPLED,'RANDOM FOREST',_3,0.932228,0.088681,0.911319,0.067772,0.913136,0.980324,0.843547
xalan_OVERSAMPLED_70.csv,OVERSAMPLED,'RANDOM FOREST',_70,0.93367,0.074261,0.925739,0.06633,0.926323,0.981367,0.859409
xalan_OVERSAMPLED_64.csv,OVERSAMPLED,'RANDOM FOREST',_64,0.94088,0.091565,0.908435,0.05912,0.911313,0.981901,0.849315
xalan_OVERSAMPLED_58.csv,OVERSAMPLED,'RANDOM FOREST',_58,0.939438,0.100216,0.899784,0.060562,0.903606,0.980447,0.839221
xalan_OVERSAMPLED_59.csv,OVERSAMPLED,'RANDOM FOREST',_59,0.937275,0.074982,0.925018,0.062725,0.925926,0.982106,0.862293
xalan_OVERSAMPLED_65.csv,OVERSAMPLED,'RANDOM FOREST',_65,0.925018,0.083634,0.916366,0.074982,0.917084,0.977144,0.841384
xalan_OVERSAMPLED_71.csv,OVERSAMPLED,'RANDOM FOREST',_71,0.943043,0.077866,0.922134,0.056957,0.923729,0.983755,0.865177
xalan_OVERSAMPLED_2.csv,OVERSAMPLED,'RANDOM FOREST',_2,0.944484,0.098774,0.901226,0.055516,0.905321,0.979255,0.84571
xalan_OVERSAMPLED_6.csv,OVERSAMPLED,'RANDOM FOREST',_6,0.935833,0.089402,0.910598,0.064167,0.912799,0.980571,0.846431
xalan_OVERSAMPLED_49.csv,OVERSAMPLED,'RANDOM FOREST',_49,0.94088,0.07354,0.92646,0.05912,0.927505,0.982054,0.86734
xalan_OVERSAMPLED_75.csv,OVERSAMPLED,'RANDOM FOREST',_75,0.937275,0.084355,0.915645,0.062725,0.917431,0.980739,0.85292
xalan_OVERSAMPLED_61.csv,OVERSAMPLED,'RANDOM FOREST',_61,0.930065,0.095169,0.904831,0.069935,0.907173,0.979219,0.834895
xalan_OVERSAMPLED_60.csv,OVERSAMPLED,'RANDOM FOREST',_60,0.947368,0.084355,0.915645,0.052632,0.918239,0.982597,0.863014
xalan_OVERSAMPLED_74.csv,OVERSAMPLED,'RANDOM FOREST',_74,0.945205,0.090844,0.909156,0.054795,0.912317,0.981853,0.854362
xalan_OVERSAMPLED_48.csv,OVERSAMPLED,'RANDOM FOREST',_48,0.940159,0.08796,0.91204,0.059841,0.914446,0.980329,0.852199
xalan_OVERSAMPLED_7.csv,OVERSAMPLED,'RANDOM FOREST',_7,0.935112,0.077866,0.922134,0.064888,0.923132,0.982651,0.857246
xalan_OVERSAMPLED_5.csv,OVERSAMPLED,'RANDOM FOREST',_5,0.941601,0.087239,0.912761,0.058399,0.915207,0.980832,0.854362
xalan_OVERSAMPLED_62.csv,OVERSAMPLED,'RANDOM FOREST',_62,0.942322,0.080029,0.919971,0.057678,0.921721,0.983976,0.862293
xalan_OVERSAMPLED_76.csv,OVERSAMPLED,'RANDOM FOREST',_76,0.935833,0.08075,0.91925,0.064167,0.920567,0.979299,0.855083
xalan_OVERSAMPLED_89.csv,OVERSAMPLED,'RANDOM FOREST',_89,0.943043,0.100937,0.899063,0.056957,0.903315,0.980978,0.842105
xalan_OVERSAMPLED_88.csv,OVERSAMPLED,'RANDOM FOREST',_88,0.934391,0.082192,0.917808,0.065609,0.919149,0.982061,0.852199
xalan_OVERSAMPLED_77.csv,OVERSAMPLED,'RANDOM FOREST',_77,0.932228,0.090123,0.909877,0.067772,0.911848,0.977265,0.842105
xalan_OVERSAMPLED_63.csv,OVERSAMPLED,'RANDOM FOREST',_63,0.937996,0.099495,0.900505,0.062004,0.9041,0.976404,0.8385
xalan_OVERSAMPLED_4.csv,OVERSAMPLED,'RANDOM FOREST',_4,0.940159,0.099495,0.900505,0.059841,0.9043,0.979957,0.840663
xalan_OVERSAMPLED_9.csv,OVERSAMPLED,'RANDOM FOREST',_9,0.932228,0.106705,0.893295,0.067772,0.897294,0.976539,0.825523
xalan_OVERSAMPLED_46.csv,OVERSAMPLED,'RANDOM FOREST',_46,0.953857,0.093727,0.906273,0.046143,0.91053,0.983672,0.86013
xalan_OVERSAMPLED_52.csv,OVERSAMPLED,'RANDOM FOREST',_52,0.945926,0.097332,0.902668,0.054074,0.906704,0.981089,0.848594
xalan_OVERSAMPLED_85.csv,OVERSAMPLED,'RANDOM FOREST',_85,0.940159,0.08796,0.91204,0.059841,0.914446,0.979954,0.852199
xalan_OVERSAMPLED_91.csv,OVERSAMPLED,'RANDOM FOREST',_91,0.945205,0.090123,0.909877,0.054795,0.912953,0.982224,0.855083
xalan_OVERSAMPLED_90.csv,OVERSAMPLED,'RANDOM FOREST',_90,0.939438,0.095169,0.904831,0.060562,0.908014,0.98052,0.844268
xalan_OVERSAMPLED_84.csv,OVERSAMPLED,'RANDOM FOREST',_84,0.941601,0.07354,0.92646,0.058399,0.927557,0.984587,0.868061
xalan_OVERSAMPLED_53.csv,OVERSAMPLED,'RANDOM FOREST',_53,0.940159,0.083634,0.916366,0.059841,0.91831,0.982374,0.856525
xalan_OVERSAMPLED_47.csv,OVERSAMPLED,'RANDOM FOREST',_47,0.934391,0.082913,0.917087,0.065609,0.918498,0.979323,0.851478
xalan_OVERSAMPLED_8.csv,OVERSAMPLED,'RANDOM FOREST',_8,0.942322,0.077866,0.922134,0.057678,0.923675,0.981307,0.864456
xalan_OVERSAMPLED_51.csv,OVERSAMPLED,'RANDOM FOREST',_51,0.934391,0.089402,0.910598,0.065609,0.912676,0.979609,0.844989
xalan_OVERSAMPLED_45.csv,OVERSAMPLED,'RANDOM FOREST',_45,0.945205,0.105263,0.894737,0.054795,0.899794,0.980789,0.839942
xalan_OVERSAMPLED_79.csv,OVERSAMPLED,'RANDOM FOREST',_79,0.945205,0.09589,0.90411,0.054795,0.907895,0.982364,0.849315
xalan_OVERSAMPLED_92.csv,OVERSAMPLED,'RANDOM FOREST',_92,0.935833,0.093727,0.906273,0.064167,0.908964,0.979915,0.842105
xalan_OVERSAMPLED_86.csv,OVERSAMPLED,'RANDOM FOREST',_86,0.935112,0.09589,0.90411,0.064888,0.906993,0.977911,0.839221
xalan_OVERSAMPLED_87.csv,OVERSAMPLED,'RANDOM FOREST',_87,0.951694,0.094448,0.905552,0.048306,0.909717,0.980736,0.857246
xalan_OVERSAMPLED_93.csv,OVERSAMPLED,'RANDOM FOREST',_93,0.942322,0.090844,0.909156,0.057678,0.912073,0.980251,0.851478
xalan_OVERSAMPLED_78.csv,OVERSAMPLED,'RANDOM FOREST',_78,0.932949,0.083634,0.916366,0.067051,0.91773,0.978888,0.849315
xalan_OVERSAMPLED_44.csv,OVERSAMPLED,'RANDOM FOREST',_44,0.954578,0.093727,0.906273,0.045422,0.910591,0.983937,0.860851
xalan_OVERSAMPLED_50.csv,OVERSAMPLED,'RANDOM FOREST',_50,0.955299,0.082913,0.917087,0.044701,0.920139,0.982829,0.872386
xalan_OVERSAMPLED_68.csv,OVERSAMPLED,'RANDOM FOREST',_68,0.948089,0.094448,0.905552,0.051911,0.909405,0.980161,0.853641
xalan_OVERSAMPLED_54.csv,OVERSAMPLED,'RANDOM FOREST',_54,0.945205,0.095169,0.904831,0.054795,0.908524,0.980004,0.850036
xalan_OVERSAMPLED_40.csv,OVERSAMPLED,'RANDOM FOREST',_40,0.935833,0.074982,0.925018,0.064167,0.92582,0.984118,0.860851
xalan_OVERSAMPLED_97.csv,OVERSAMPLED,'RANDOM FOREST',_97,0.940159,0.085797,0.914203,0.059841,0.916374,0.981338,0.854362
xalan_OVERSAMPLED_83.csv,OVERSAMPLED,'RANDOM FOREST',_83,0.945926,0.08075,0.91925,0.054074,0.921348,0.980838,0.865177
xalan_OVERSAMPLED_82.csv,OVERSAMPLED,'RANDOM FOREST',_82,0.940159,0.084355,0.915645,0.059841,0.917664,0.981932,0.855804
xalan_OVERSAMPLED_96.csv,OVERSAMPLED,'RANDOM FOREST',_96,0.930786,0.081471,0.918529,0.069214,0.919516,0.980066,0.849315
xalan_OVERSAMPLED_41.csv,OVERSAMPLED,'RANDOM FOREST',_41,0.937996,0.085076,0.914924,0.062004,0.916843,0.97908,0.85292
xalan_OVERSAMPLED_55.csv,OVERSAMPLED,'RANDOM FOREST',_55,0.938717,0.087239,0.912761,0.061283,0.914968,0.981243,0.851478
xalan_OVERSAMPLED_69.csv,OVERSAMPLED,'RANDOM FOREST',_69,0.94881,0.089402,0.910598,0.05119,0.913889,0.982614,0.859409
xalan_OVERSAMPLED_43.csv,OVERSAMPLED,'RANDOM FOREST',_43,0.931507,0.081471,0.918529,0.068493,0.919573,0.981361,0.850036
xalan_OVERSAMPLED_57.csv,OVERSAMPLED,'RANDOM FOREST',_57,0.932949,0.093727,0.906273,0.067051,0.908708,0.978035,0.839221
xalan_OVERSAMPLED_80.csv,OVERSAMPLED,'RANDOM FOREST',_80,0.937275,0.082913,0.917087,0.062725,0.918728,0.983903,0.854362
xalan_OVERSAMPLED_94.csv,OVERSAMPLED,'RANDOM FOREST',_94,0.938717,0.102379,0.897621,0.061283,0.901662,0.979937,0.836337
xalan_OVERSAMPLED_95.csv,OVERSAMPLED,'RANDOM FOREST',_95,0.924297,0.094448,0.905552,0.075703,0.907289,0.979247,0.829849
xalan_OVERSAMPLED_81.csv,OVERSAMPLED,'RANDOM FOREST',_81,0.953857,0.101658,0.898342,0.046143,0.903689,0.982666,0.852199
xalan_OVERSAMPLED_56.csv,OVERSAMPLED,'RANDOM FOREST',_56,0.950252,0.086518,0.913482,0.049748,0.916551,0.982615,0.863735
xalan_OVERSAMPLED_42.csv,OVERSAMPLED,'RANDOM FOREST',_42,0.939438,0.084355,0.915645,0.060562,0.917606,0.980116,0.855083
xalan_OVERSAMPLED_25.csv,OVERSAMPLED,'RANDOM FOREST',_25,0.932949,0.085797,0.914203,0.067051,0.915782,0.981459,0.847152
xalan_OVERSAMPLED_31.csv,OVERSAMPLED,'RANDOM FOREST',_31,0.935833,0.078587,0.921413,0.064167,0.92253,0.98181,0.857246
xalan_OVERSAMPLED_19.csv,OVERSAMPLED,'RANDOM FOREST',_19,0.94088,0.091565,0.908435,0.05912,0.911313,0.981064,0.849315
xalan_OVERSAMPLED_18.csv,OVERSAMPLED,'RANDOM FOREST',_18,0.944484,0.074982,0.925018,0.055516,0.92645,0.981917,0.869503
xalan_OVERSAMPLED_30.csv,OVERSAMPLED,'RANDOM FOREST',_30,0.943764,0.090844,0.909156,0.056236,0.912195,0.982568,0.85292
