Dataset,Treatment,Classifier,'Sample ID','True Positive','False Positive','True Negative','False Negative',Precision,AUC,Kappa
ant_UNSAMPLED_train.csv,UNSAMPLED,'RANDOM FOREST',_train,0.342593,0.071111,0.928889,0.657407,0.536232,0.794859,0.31466
ant_UNSAMPLED_train.csv,UNSAMPLED,'NAIVE BAYES',_train,0.527778,0.151111,0.848889,0.472222,0.456,0.753661,0.355408
ant_UNSAMPLED_train.csv,UNSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_train,0.180556,0.034444,0.965556,0.819444,0.557143,0.74204,0.196611
ant_UNSAMPLED_train.csv,UNSAMPLED,'LOGISTIC REGRESSION',_train,0.291667,0.05,0.95,0.708333,0.583333,0.767276,0.298354
ant_UNSAMPLED_train.csv,UNSAMPLED,SVM,_train,0.050926,0.003333,0.996667,0.949074,0.785714,0.523796,0.073829
ant_UNSAMPLED_train.csv,UNSAMPLED,'DECISION TREE',_train,0.324074,0.082222,0.917778,0.675926,0.486111,0.574733,0.27693
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,'RANDOM FOREST',_3,0.712963,0.296296,0.703704,0.287037,0.706422,0.766343,0.416667
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,'NAIVE BAYES',_3,0.513889,0.143519,0.856481,0.486111,0.78169,0.751495,0.37037
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_3,0.611111,0.263889,0.736111,0.388889,0.698413,0.739133,0.347222
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_3,0.666667,0.277778,0.722222,0.333333,0.705882,0.761103,0.388889
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,SVM,_3,0.662037,0.263889,0.736111,0.337963,0.715,0.699074,0.398148
ant_UNDERSAMPLED_3.csv,UNDERSAMPLED,'DECISION TREE',_3,0.638889,0.287037,0.712963,0.361111,0.69,0.690394,0.351852
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,'RANDOM FOREST',_14,0.740741,0.291667,0.708333,0.259259,0.717489,0.776878,0.449074
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,'NAIVE BAYES',_14,0.574074,0.212963,0.787037,0.425926,0.729412,0.73184,0.361111
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_14,0.62963,0.231481,0.768519,0.37037,0.731183,0.722769,0.398148
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_14,0.671296,0.222222,0.777778,0.328704,0.751295,0.761553,0.449074
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,SVM,_14,0.634259,0.199074,0.800926,0.365741,0.761111,0.717593,0.435185
ant_UNDERSAMPLED_14.csv,UNDERSAMPLED,'DECISION TREE',_14,0.726852,0.310185,0.689815,0.273148,0.700893,0.69378,0.416667
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,'RANDOM FOREST',_28,0.680556,0.296296,0.703704,0.319444,0.696682,0.733678,0.384259
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,'NAIVE BAYES',_28,0.597222,0.287037,0.712963,0.402778,0.675393,0.727206,0.310185
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_28,0.638889,0.25463,0.74537,0.361111,0.715026,0.728867,0.384259
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_28,0.606481,0.24537,0.75463,0.393519,0.711957,0.744127,0.361111
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,SVM,_28,0.583333,0.217593,0.782407,0.416667,0.728324,0.68287,0.365741
ant_UNDERSAMPLED_28.csv,UNDERSAMPLED,'DECISION TREE',_28,0.666667,0.305556,0.694444,0.333333,0.685714,0.662959,0.361111
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,'RANDOM FOREST',_29,0.694444,0.291667,0.708333,0.305556,0.704225,0.761199,0.402778
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,'NAIVE BAYES',_29,0.532407,0.175926,0.824074,0.467593,0.751634,0.74013,0.356481
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,'K-NEAREST NEIGHBOURS: LINEAR NN',_29,0.606481,0.263889,0.736111,0.393519,0.696809,0.724237,0.342593
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,'LOGISTIC REGRESSION',_29,0.634259,0.282407,0.717593,0.365741,0.691919,0.739455,0.351852
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,SVM,_29,0.583333,0.217593,0.782407,0.416667,0.728324,0.68287,0.365741
ant_UNDERSAMPLED_29.csv,UNDERSAMPLED,'DECISION TREE',_29,0.671296,0.319444,0.680556,0.328704,0.67757,0.69318,0.351852
