Release,Order,NR,NREF,NFIX,NAUTH,LINES_SUM,LINES_MAX,LINES_AVG,CHURN_SUM,CHURN_MAX,CHURN_AVG,CHGSET_SUM,CHGSET_MAX,CHGSET_AVG,AGE,AGE_WEIGHTED,Impl,LOC.A,LOC.M,LOC.D,Violations,Faultiness
102,FIRST,1,0,0,0,0,0,0,0,0,0,0,0,0,25,21,0,0,0,0,0,FALSE
100,FIRST,3,0,2,2,21,21,21,-5,-5,-5,10,5,3,22,NA,1,8,15,13,0,FALSE
100,FIRST,2,0,1,2,5,5,5,5,5,5,16,11,8,19,NA,1,5,0,0,70,FALSE
102,FIRST,3,0,1,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,0,FALSE
100,FIRST,1,0,0,1,1,1,1,1,1,1,29,29,29,21,NA,1,1,0,0,25,FALSE
100,FIRST,5,0,2,3,16,14,5,4,2,1,58,29,11,21,NA,3,10,6,6,0,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,17,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-43,0,0,0,0,0,0,FALSE
102,FIRST,1,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,76,FALSE
102,FIRST,7,0,1,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,16,FALSE
102,FIRST,17,0,5,0,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,FALSE
100,FIRST,3,0,2,2,0,0,0,0,0,0,28,14,9,19,NA,1,0,1,0,0,FALSE
104,FIRST,2,0,1,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,7,FALSE
100,FIRST,2,0,1,1,0,0,0,0,0,0,4,3,2,19,NA,1,0,1,0,0,FALSE
102,FIRST,6,0,2,0,0,0,0,0,0,0,0,0,0,26,22,0,0,0,0,15,FALSE
100,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,NA,0,0,0,0,16,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,0,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,0,0,0,0,0,0,FALSE
102,FIRST,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0,0,0,0,15,FALSE
