version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
1.6,8,1,0,2,33,4,2,1,5,0.673469,269,0.714286,1,0,0.416667,0,0,31.75,4,1.75,FALSE
1.7,3,1,0,2,13,1,1,1,3,1.441176,76,0.058824,1,0,0.5,0,0,18.666667,4,1.6667,FALSE
1.4,5,1,0,19,12,4,17,2,5,0.25,55,1,0,0,0.533333,0,0,9.8,1,0.6,FALSE
1.5,7,3,0,7,21,0,0,7,7,0.625,144,1,0,0.860465,0.342857,1,1,19,5,1.4286,FALSE
1.6,6,3,0,5,35,0,0,5,3,0.866667,300,1,0,0.880952,0.444444,1,1,48.5,1,0.8333,FALSE
1.3,24,3,0,27,80,182,20,8,18,0.565217,693,0.666667,2,0.588235,0.15415,2,5,27.75,13,2.2917,FALSE
1.5,7,5,0,9,28,0,4,5,7,0.708333,215,0.5,0,0.863636,0.342857,1,4,29.142857,9,2.8571,FALSE
1.6,4,1,0,4,5,0,3,1,4,0.333333,24,1,0,0,0.875,0,0,4.75,1,0.75,FALSE
1.3,9,6,0,7,33,28,0,7,6,0.8125,163,1,0,0.950617,0.4,4,6,16.888889,2,1,FALSE
1.4,7,1,0,2,8,0,2,0,7,0,147,1,0,0,0.342857,1,1,19.857143,4,1,FALSE
1.6,3,1,0,3,17,0,2,1,3,0.25,204,1,0,0,0.666667,0,0,65.666667,2,1,FALSE
1.6,6,3,0,5,24,1,0,5,6,0.7,137,1,0,0.880952,0.416667,3,3,21.166667,1,0.8333,FALSE
1.4,18,3,0,10,49,115,1,9,14,0.836601,397,1,3,0.685185,0.333333,0,0,20.555556,6,1.8333,FALSE
1.7,11,2,0,7,26,0,5,2,11,0.58,181,1,0,0.529412,0.409091,0,0,15,1,0.7273,FALSE
1.4,7,2,0,2,18,11,1,1,4,0.633333,118,1,1,0.454545,0.357143,1,1,15.142857,2,1,FALSE
1.7,10,3,0,8,32,15,2,6,10,0.666667,166,1,1,0.769231,0.3,1,1,15.3,3,1.4,FALSE
1.5,8,1,0,4,39,22,1,3,6,0.785714,377,0.5,0,0,0.166667,0,0,45.875,3,1.25,FALSE
1.7,4,4,0,3,12,0,0,3,3,0.666667,55,1,0,0.933333,0.625,1,1,12.25,4,1.5,FALSE
1.6,1,1,0,2,1,0,1,1,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
1.5,5,1,1,3,15,0,2,1,4,0.5,137,1,0,0,0.9,0,0,25.2,4,1.8,FALSE
1.5,16,1,0,6,36,58,1,5,13,0.633333,363,1,0,0,0.242188,0,0,21.3125,5,1.75,FALSE
1.5,19,3,0,11,61,121,7,5,15,0.75,503,0.5,0,0.638298,0.294737,2,2,25.157895,5,2,FALSE
