version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
1.2,2,4,2,7,4,1,2,5,2,1,17,0,1,1,0.875,0,0,7,0,0,FALSE
1.4,2,5,0,4,8,0,1,4,2,0,22,1,1,0.95,0.666667,0,0,9.5,1,0.5,FALSE
1.4,6,3,0,7,19,9,3,6,4,0.6,68,1,0,0.875,0.375,2,4,10.166667,2,1,FALSE
1.4,8,4,0,15,19,28,4,15,7,2,73,0,0,0.863636,0.3125,0,0,8.125,1,0.75,FALSE
1.4,1,1,0,5,1,0,5,0,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
1,3,1,0,7,15,1,1,6,2,0.5,62,1,1,0,0.666667,0,0,19.333333,3,1,FALSE
1.4,2,1,0,6,6,0,1,5,2,0,22,1,0,0,0.6,0,0,9.5,1,0.5,FALSE
1.2,21,2,1,15,49,142,1,14,12,0.808333,276,1,2,0.4,0.2,1,2,11.857143,3,1,FALSE
1.4,4,0,2,5,24,6,2,3,1,2,93,0,0,0,0.4,0,0,22.25,4,1.5,FALSE
1,2,1,0,2,3,1,0,2,2,2,7,0,0,0,0.75,0,0,2.5,1,0.5,FALSE
1.4,7,2,0,11,21,17,6,5,6,0.666667,90,1,0,0.375,0.375,0,0,11.571429,2,1,FALSE
1.4,4,2,0,3,11,0,1,2,3,0.333333,45,1,0,0.857143,0.625,1,1,10,1,0.75,FALSE
1.4,6,4,0,5,10,15,1,5,5,1,43,1,0,0.949153,0.444444,0,0,6,1,0.5,FALSE
1,2,1,0,2,19,1,1,1,2,2,121,0,0,0,0.666667,0,0,59.5,13,6.5,FALSE
1.4,10,1,0,10,28,0,5,5,10,0.518519,136,1,1,0,0.257143,0,0,12.3,2,0.9,FALSE
1.2,5,1,0,4,11,10,1,3,4,2,56,0,0,0,0.44,0,0,10.2,1,0.8,FALSE
1.2,3,1,0,1,41,3,0,1,1,2,221,0,0,0,0.333333,0,0,72.666667,1,0.6667,FALSE
1.4,2,4,0,7,5,0,4,3,1,0,30,1,0,0.952381,0.666667,1,1,13.5,2,1,FALSE
1.2,15,2,0,18,28,101,5,17,13,0.75,118,1,2,0.548387,0.2,1,1,6.733333,2,1.0667,FALSE
1,3,1,0,1,41,3,0,1,2,2,221,0,0,0,0.333333,0,0,72.666667,1,0.6667,FALSE
1.2,25,2,0,16,74,206,6,15,18,0.800926,448,1,1,0.361111,0.190476,1,1,16.56,4,1.32,FALSE
