version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
1,17,1,0,9,29,104,1,9,15,0.7625,158,1,2,0,0.215686,0,0,8,2,1,FALSE
1,19,2,0,20,31,133,6,18,18,0.644444,170,1,2,0.4375,0.163158,1,1,7.684211,2,1,FALSE
1.4,12,0,1,40,73,28,1,39,9,2,566,0,0,0,0.256944,0,0,46.166667,6,2.0833,FALSE
1.2,2,3,0,4,7,1,0,4,1,2,17,0,0,0.958333,0.666667,1,1,7.5,1,0.5,FALSE
1.2,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,FALSE
1,8,3,0,12,30,0,1,12,5,0.642857,114,1,1,0.666667,0.314286,1,1,12.75,2,0.875,FALSE
1.4,6,1,0,5,27,1,1,4,5,0.666667,163,1,1,0,0.36,0,0,25.666667,15,3,FALSE
1,9,1,0,5,16,36,2,3,9,2,69,0,0,0,0.194444,0,0,6.666667,1,0.8889,FALSE
1,6,1,0,8,20,15,6,4,5,2,82,0,0,0,0.583333,0,0,12.666667,2,1.5,FALSE
1.4,41,1,0,6,54,516,5,1,41,0.875,507,0,0,0,0.297561,0,0,10.95122,1,0.9268,FALSE
1.4,9,3,1,11,23,8,5,8,7,0.458333,127,1,1,0.928571,0.375,0,0,12.777778,2,0.6667,FALSE
1,9,2,1,7,25,6,2,5,6,0.25,130,1,0,0.466667,0.361111,1,1,13.333333,2,1,FALSE
1.4,3,1,9,9,4,1,9,0,3,0.5,14,1,0,0,0.666667,0,0,3.333333,1,0.6667,FALSE
1.2,3,2,0,4,7,3,1,3,1,2,330,0,0,0.666667,1,1,1,109,1,0.6667,FALSE
1.2,3,2,0,1,5,3,0,1,3,2,12,0,0,0.923077,0.666667,1,2,3,1,0.3333,FALSE
1.2,7,1,0,14,14,19,6,8,6,0.966667,63,0.4,2,0,0.3,0,0,7.285714,2,1.1429,FALSE
1.2,3,2,0,4,7,3,1,3,1,2,77,0,0,0.666667,1,1,1,24.666667,1,0.6667,FALSE
1.2,4,1,3,3,11,0,3,0,4,0.333333,31,1,0,0,0.625,0,0,6.5,1,0.75,FALSE
1.2,8,1,0,2,22,10,0,2,6,0.714286,188,1,0,0,0.285714,0,0,22,2,1,FALSE
1.4,3,1,0,0,13,3,0,0,3,2,57,0,0,0,0.444444,0,0,18,1,0.6667,FALSE
1.4,8,2,0,10,27,14,2,10,4,0.714286,120,1,0,0.793103,0.291667,0,0,13.625,1,0.75,FALSE
1.2,2,1,0,10,12,0,2,8,2,0,49,1,2,0,0.583333,0,0,22.5,1,0.5,FALSE
