version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
1.1,7,1,0,6,22,11,0,6,3,0.666667,107,0,1,0,0.375,0,0,13.857143,2,0.8571,FALSE
1,6,2,0,3,8,15,0,3,6,1,34,0,0,0.818182,0.5,1,1,4.333333,2,0.8333,FALSE
1,10,2,0,5,35,25,0,5,7,0.761905,272,0,0,0.692308,0.361111,2,3,25.5,5,1.8,FALSE
1.1,2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,1,0.5,FALSE
1,9,2,0,4,37,8,0,4,7,0.822917,314,0,1,0.897059,0.21875,0,0,32.555556,7,2,FALSE
1,4,1,0,1,11,2,1,0,2,0.777778,61,0,0,0,0.5,1,1,13.5,6,2,FALSE
1.1,8,1,0,7,42,14,0,7,2,0.75,308,0,2,0,0.238095,0,0,37,4,1.5,FALSE
1,19,2,0,10,69,129,2,8,13,0.885965,675,0.105263,2,0.514286,0.233083,1,3,33.526316,11,2.1579,FALSE
1.1,6,1,5,9,10,7,7,2,2,0.72,174,0,1,0,0.44,0,0,27.166667,6,1.8333,FALSE
1.1,8,1,0,15,41,8,4,14,2,0.956044,693,0.461538,3,0,0.375,0,0,82.375,21,6.25,FALSE
1.1,3,3,0,1,6,1,1,0,3,0.5,28,1,0,0.944444,0.555556,1,1,8,3,1,FALSE
1.1,4,1,0,7,27,4,0,7,2,0.666667,134,0,0,0,0.333333,0,0,32.25,3,1.5,FALSE
1.1,2,1,0,2,16,1,0,2,2,2,100,0,0,0,0.75,0,0,49,3,1.5,FALSE
1,4,1,0,7,27,4,0,7,2,0.666667,134,0,0,0,0.333333,0,0,32.25,3,1.5,FALSE
1.1,6,2,0,3,8,15,0,3,6,1,34,0,0,0.818182,0.5,1,1,4.333333,2,0.8333,FALSE
1.1,6,3,0,2,15,0,1,1,5,0,66,1,0,0.919355,0.375,0,0,9.833333,2,1,FALSE
1,5,1,0,7,31,10,0,7,2,0.875,145,0,0,0,0.3,0,0,27.6,3,1.4,FALSE
1,2,1,0,4,4,1,2,2,1,2,10,0,0,0,0.75,0,0,4,1,0.5,FALSE
1,2,1,0,2,16,1,0,2,2,2,100,0,0,0,0.75,0,0,49,3,1.5,FALSE
1,2,1,0,3,20,1,0,3,2,2,85,0,0,0,0.5,0,0,41.5,6,3,FALSE
1,3,3,0,1,7,1,1,0,3,0.5,20,1,0,0.95122,0.444444,1,3,5.333333,1,0.6667,FALSE
1.1,0,1,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,FALSE
1,4,4,0,3,10,0,1,2,4,0.5,41,0,0,0.875,0.5,2,2,8.75,1,0.75,FALSE
1.1,6,3,0,2,15,0,1,1,5,0,66,1,0,0.919355,0.375,0,0,9.833333,2,1,FALSE
1.1,2,1,0,2,4,1,1,1,1,2,8,0,0,0,0.75,0,0,3,1,0.5,FALSE
1.1,10,2,0,2,37,23,0,2,7,0.833333,301,0,1,0.884058,0.2,0,0,28.1,4,1.7,FALSE
1,6,1,0,4,30,9,0,4,2,0.666667,144,0,1,0,0.333333,0,0,22.5,2,1,FALSE
1,8,3,0,7,25,0,2,5,8,0.795918,217,0.571429,0,0.714286,0.40625,1,1,25.25,5,1.625,FALSE
1,19,2,0,10,69,129,2,8,13,0.885965,675,0.105263,2,0.514286,0.233083,1,3,33.526316,11,2.1579,FALSE
