version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
2,1,1,0,3,2,0,1,2,0,2,38,0,2,0,1,0,0,33,0,0,FALSE
2.2,14,3,0,13,24,69,0,13,12,0.96337,723,0.571429,0,0.454545,0.205128,0,0,49.142857,1,0.8571,FALSE
2.2,2,2,0,3,4,1,0,3,2,2,10,0,0,0.666667,0.666667,0,0,4,1,0.5,FALSE
2.4,5,1,2,11,6,10,8,4,2,2,8,0,0,0,0.466667,0,0,0.6,1,0.8,FALSE
2.2,2,1,0,4,2,1,2,2,2,2,2,0,0,0,1,0,0,0,1,1,FALSE
2,9,2,2,7,14,8,5,2,6,0.5,103,1,2,0.384615,0.407407,1,2,10.222222,2,1,FALSE
2,5,2,1,7,13,0,2,5,4,0.4375,110,0.5,1,0.25,0.5,0,0,20.2,4,1.6,FALSE
2,3,3,0,11,13,1,1,10,3,2,70,0,0,0.666667,0.533333,1,3,22.333333,2,1.3333,FALSE
2.2,14,1,0,2,25,3,1,1,13,0.602564,237,0,0,0,0.404762,0,0,15.5,1,0.9286,FALSE
2.2,7,1,1,13,46,0,2,12,7,0.690476,357,1,2,0,0.309524,0,0,49,1,0.8571,FALSE
2.4,4,3,0,4,14,4,1,3,2,0.833333,74,0,0,0.777778,0.416667,1,2,17,1,0.5,FALSE
2.2,2,2,0,6,4,1,4,2,0,2,39,0,0,0.916667,0.666667,1,3,18.5,4,2,FALSE
2,3,3,0,5,17,1,1,4,2,0.5,98,1,0,0.75,0.75,0,0,31,1,0.3333,FALSE
2,4,1,0,0,18,0,0,0,3,1.166667,130,0.5,0,0,0.333333,0,0,30,6,2.5,FALSE
2.2,5,4,0,2,18,0,1,1,4,0.55,380,0.4,1,0.866667,0.4,1,1,74,14,4.8,FALSE
2.4,2,1,2,7,16,0,2,5,1,0,66,1,1,0,0.666667,0,0,31.5,1,0.5,FALSE
2.2,4,4,0,1,8,6,1,0,4,2,20,0,0,1,0.666667,0,0,4,0,0,FALSE
2.2,8,1,0,1,25,22,1,0,6,0.428571,126,1,0,0,0.178571,0,0,14.625,5,1.375,FALSE
2.2,2,1,0,2,2,1,1,1,2,2,2,0,0,0,0.666667,0,0,0,1,1,FALSE
2.2,2,1,0,17,7,1,17,0,2,2,21,0,0,0,0.5,0,0,9.5,2,1,FALSE
2.2,9,2,2,7,14,8,5,2,6,0.5,103,1,2,0.384615,0.407407,1,2,10.222222,2,1,FALSE
2.2,4,1,0,2,17,6,2,0,4,2,147,0,0,0,0.333333,0,0,35.75,1,0.75,FALSE
2,6,1,0,11,6,15,11,0,6,2,6,0,0,0,0.375,0,0,0,1,1,FALSE
2.2,10,1,0,6,18,0,5,2,10,0.333333,104,1,2,0,0.375,1,1,9.2,4,1.4,FALSE
2.2,1,5,0,4,2,0,4,0,1,2,5,0,0,1,1,0,0,4,0,0,FALSE
2,12,1,10,13,13,0,13,0,8,0.454545,275,1,0,0,0.444444,0,0,21.666667,7,2.0833,FALSE
2,2,4,0,2,4,1,1,1,1,2,13,0,0,0.857143,0.666667,1,1,5.5,2,1,FALSE
