version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
44,5,7,0,24,26,4,1,23,1,0.916667,110,0,0,0.884615,0.666667,2,3,20.4,1,0.6,FALSE
4,7,1,0,22,7,21,18,4,7,2,7,0,0,0,0.392857,0,0,0,1,1,FALSE
44,4,4,0,14,28,4,1,13,3,1,120,0,0,0.978261,0.555556,3,10,28.25,1,0.5,FALSE
4,2,2,0,6,14,1,1,5,1,1,63,0,0,0.933333,1,1,1,30,2,1,FALSE
236,2,3,0,7,9,1,0,7,2,2,24,0,0,0.857143,0.625,1,1,11,1,0.5,FALSE
121,2,3,0,6,11,1,0,6,2,1,47,0,0,0.857143,0.666667,0,0,22,3,1.5,FALSE
157,2,1,0,9,17,1,0,9,2,2,45,0,0,0,0.666667,0,0,21.5,3,1.5,FALSE
164,4,7,0,9,10,4,0,9,1,1,28,0,0,0.916667,0.555556,2,2,5.5,1,0.5,FALSE
192,5,6,0,16,18,4,0,16,1,0.916667,61,0,0,0.88,0.666667,2,3,10.6,1,0.6,FALSE
121,3,3,0,22,53,1,0,22,2,1,668,0.666667,0,0.857143,0.666667,2,2,220.666667,58,19.3333,FALSE
157,9,3,1,12,29,34,4,9,3,1.025,150,0.8,1,0.829787,0.266667,1,2,15.111111,4,1.2222,FALSE
9,2,3,0,8,9,1,1,7,2,2,28,0,0,0.875,0.625,1,1,13,1,0.5,FALSE
44,5,6,0,19,21,4,1,18,1,0.916667,79,0,0,0.88,0.666667,2,3,14.2,1,0.6,FALSE
164,3,4,0,38,38,3,3,35,2,2,220,0,0,0.882353,0.466667,2,2,72.333333,4,1.6667,FALSE
128,3,2,0,5,4,1,0,5,3,0.5,15,0,0,0.882353,0.5,1,1,3.666667,1,0.6667,FALSE
192,2,3,0,8,12,1,0,8,2,2,52,0,0,0.857143,0.625,1,1,25,4,2,FALSE
40,9,1,0,35,24,30,34,1,8,0.875,220,0,0,0,0.349206,0,0,23.111111,3,2,FALSE
128,5,7,0,22,25,4,0,22,1,0.916667,96,0,0,0.884615,0.666667,2,3,17.6,1,0.6,FALSE
128,2,2,0,3,3,1,1,2,2,2,8,0,0,0.961538,0.666667,0,0,3,1,0.5,FALSE
9,4,4,0,11,19,4,1,10,3,1,90,0,0,0.978723,0.555556,3,9,20.75,1,0.5,FALSE
128,4,6,0,9,13,4,0,9,1,1,43,0,0,0.916667,0.555556,2,2,9,1,0.5,FALSE
44,4,5,0,9,13,4,1,8,1,1,43,0,0,0.913043,0.555556,2,2,9,1,0.5,FALSE
236,3,1,0,3,6,3,1,2,2,1,24,0,1,0,0.75,0,0,6.666667,1,0.3333,FALSE
4,6,3,0,10,32,13,0,10,4,0.62,302,0.1,0,0.888889,0.44,0,0,47.666667,17,3.3333,FALSE
40,20,1,1,18,31,150,15,5,19,0.873684,145,1,2,0,0.323308,0,0,6,2,0.95,FALSE
157,2,4,0,7,11,1,0,7,2,2,31,0,0,0.833333,0.75,2,2,14.5,1,0.5,FALSE
44,2,1,0,9,11,1,0,9,0,1,81,1,0,0,1,0,0,32,0,0,FALSE
128,3,3,0,8,14,1,0,8,2,0.75,46,0.5,0,0.947368,0.666667,0,0,13.666667,2,0.6667,FALSE
225,6,5,0,13,18,9,0,13,2,0.933333,71,0,0,0.857143,0.6,3,3,10.333333,1,0.6667,FALSE
40,107,2,0,106,344,4553,28,89,76,0.915094,5993,0.9,9,0.047619,0.096627,0,0,54.82243,6,1.1963,FALSE
85,32,2,0,2,33,464,1,1,31,0.971537,220,0.764706,0,0.302326,0.354839,1,5,5.34375,1,0.9375,FALSE
192,2,3,0,13,19,1,0,13,2,2,135,0,0,0.875,0.625,1,1,66.5,9,4.5,FALSE
157,3,2,0,7,18,1,1,6,2,0.5,55,1,0,0.909091,0.666667,0,0,17,3,1,FALSE
44,2,3,0,7,8,1,1,6,2,2,22,0,0,0.964286,0.666667,2,3,10,1,0.5,FALSE
192,4,4,0,28,35,4,1,27,3,1,192,0,0,0.962963,0.555556,3,7,46.25,1,0.5,FALSE
185,2,1,0,11,2,1,8,3,2,2,2,0,0,0,1,0,0,0,1,1,FALSE
157,5,5,0,3,9,10,1,2,5,1.25,28,1,0,0.962963,0.65,1,1,4.4,1,0.2,FALSE
44,5,5,0,2,10,10,0,2,2,1.083333,35,0,0,0.955882,1,4,9,5.4,1,0.6,FALSE
40,1,2,0,5,10,0,1,4,1,2,34,0,0,1,1,1,1,33,0,0,FALSE
128,2,3,0,8,13,1,0,8,2,2,56,0,0,0.857143,0.625,1,1,27,5,2.5,FALSE
9,5,7,0,24,24,4,1,23,1,0.916667,89,0,0,0.892857,0.666667,2,3,16.2,1,0.6,FALSE
157,2,2,0,2,3,1,1,1,1,2,7,0,0,0.923077,1,1,2,2.5,1,0.5,FALSE
44,2,4,0,1,3,1,0,1,1,2,7,0,0,0.875,1,1,2,2.5,1,0.5,FALSE
40,2,1,0,6,2,1,6,0,2,2,7,0,0,0,0.75,0,0,0,1,1,FALSE
157,11,3,0,14,43,13,0,14,9,0.857143,289,0.714286,0,0.8125,0.32,2,7,24.636364,13,2.5455,FALSE
44,4,4,0,28,36,4,1,27,3,1,198,0,0,0.965517,0.555556,3,7,47.75,1,0.5,FALSE
9,2,1,0,2,9,1,1,1,2,2,43,0,0,0,0.75,0,0,20.5,4,2,FALSE
9,2,3,0,12,17,1,1,11,2,2,66,0,0,0.875,0.625,1,1,32,7,3.5,FALSE
4,6,1,0,6,31,9,1,5,3,0.8,136,0.8,1,0,0.333333,0,0,20.833333,8,2,FALSE
236,7,5,0,21,30,15,0,21,3,0.944444,111,0,0,0.827586,0.4,3,4,14.428571,3,1,FALSE
157,2,2,0,11,9,1,0,11,2,2,31,0,0,0.8,0.666667,1,1,14.5,1,0.5,FALSE
9,2,1,0,16,18,1,0,16,0,1,86,1,0,0,1,0,0,34,0,0,FALSE
225,6,5,0,24,29,9,0,24,2,0.933333,136,0,0,0.857143,0.6,3,3,21.166667,1,0.6667,FALSE
4,15,1,0,7,15,105,4,3,15,2,15,0,0,0,1,0,0,0,1,1,FALSE
9,5,5,0,17,17,4,4,13,1,0.916667,60,0,0,0.88,0.666667,2,3,10.4,1,0.6,FALSE
128,3,5,0,4,7,1,0,4,1,0.5,29,0,0,0.970588,0.625,1,1,8,2,0.6667,FALSE
225,8,4,0,7,23,10,0,7,8,0.857143,148,0.4,0,0.867925,0.325,3,9,16.875,6,2,FALSE
192,2,3,0,13,26,1,0,13,2,1,107,0,0,0.857143,0.666667,0,0,52,7,3.5,FALSE
185,2,2,0,9,11,1,0,9,2,1,39,0,0,0.8,0.666667,1,1,18,1,0.5,FALSE
128,2,2,0,14,20,1,0,14,2,2,84,0,0,0.8,0.666667,1,1,41,1,0.5,FALSE
40,6,2,2,33,68,15,2,31,1,1,547,0.5,0,0.705882,0.5,2,3,89.833333,20,5.3333,FALSE
