version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,Faultiness
4,2,4,0,2,5,1,0,2,1,2,24,1,0,0.941176,0.75,1,1,10.5,3,1.5,FALSE
4,12,4,1,19,44,66,2,18,6,2,259,0,0,0.905172,0.35,2,3,20.583333,8,2.0833,FALSE
4,10,4,0,13,48,45,4,13,2,1.066667,206,1,0,0.918919,0.5,2,3,19.1,4,1.2,FALSE
4,2,3,0,5,7,1,0,5,1,2,26,1,0,0.933333,0.75,1,1,11.5,4,2,TRUE
4,8,1,0,4,38,0,3,1,5,0.642857,255,0.5,0,0,0.285714,0,0,30.625,2,0.875,FALSE
4,2,3,0,10,18,1,0,10,1,2,108,1,0,0.933333,0.75,2,2,52.5,10,5,FALSE
4,2,3,0,7,14,1,0,7,1,2,39,1,0,0.933333,0.75,1,1,18,2,1,FALSE
4,4,1,0,7,18,6,2,5,1,2,66,0,0,0,0.416667,0,0,15.5,2,1.5,FALSE
4,3,4,0,4,13,3,0,4,1,1.5,58,1,0,0.894737,0.555556,1,1,18,4,2,FALSE
4,35,1,0,34,124,139,4,30,3,1.005462,2273,0.057143,0,0,0.318627,0,0,61.942857,14,2.2571,FALSE
4,5,1,0,1,12,2,1,0,5,0.625,46,1,0,0,0.7,0,0,7.8,3,1.2,FALSE
4,1,1,0,0,2,0,0,0,1,2,5,0,0,0,1,0,0,3,0,0,FALSE
4,2,4,0,1,3,1,0,1,1,2,7,0,0,0.888889,1,1,2,2.5,1,0.5,FALSE
4,8,1,1,4,37,18,1,3,4,0.957143,271,0.5,0,0,0.392857,0,0,31.625,6,1.625,FALSE
4,19,1,0,31,75,13,22,9,11,0.644444,623,0.8,0,0,0.134921,0,0,31.526316,6,2.3684,FALSE
4,3,6,0,2,16,0,2,0,3,0.833333,69,1,0,0.997089,0.555556,1,1,21,1,0.6667,FALSE
4,2,2,0,4,4,1,0,4,1,2,12,0,0,0.833333,0.75,1,1,5,1,0.5,FALSE
4,23,1,0,10,72,185,1,9,17,1.003135,985,0.224138,0,0,0.286957,0,0,39.304348,12,2.1304,FALSE
4,2,1,0,5,8,1,0,5,2,2,27,0,0,0,0.666667,0,0,12.5,1,0.5,FALSE
4,0,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,FALSE
4,5,2,3,4,16,2,4,0,4,0.75,81,1,0,0.714286,0.433333,1,2,14.6,2,1.4,FALSE
4,2,2,0,8,12,1,0,8,2,2,39,0,0,0.666667,0.75,0,0,18.5,2,1,FALSE
4,4,2,14,23,20,0,14,9,2,2,89,0,0,0.4,0.583333,0,0,21.25,4,2.25,TRUE
4,42,1,0,144,206,815,87,57,38,1.009059,1133,0.2,0,0,0.078714,0,0,25.142857,11,2.8571,TRUE
4,2,3,0,7,14,1,0,7,1,2,74,1,0,0.933333,0.75,1,1,35.5,5,2.5,FALSE
4,4,1,0,16,9,6,12,4,3,1,43,1,0,0,0.25,0,0,9,2,1.5,FALSE
4,18,5,0,18,47,119,2,16,11,0.882353,209,0.5,1,0.899371,0.22549,3,17,10.388889,5,1.1667,FALSE
4,2,3,0,1,7,1,0,1,1,2,42,1,0,0.98,0.666667,0,0,19.5,1,0.5,FALSE
4,6,3,0,8,25,3,0,8,6,0.7,121,1,0,0.886364,0.333333,2,6,18.833333,6,2,FALSE
4,0,1,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,0,0,FALSE
4,11,1,0,1,23,35,1,0,10,0.633333,305,1,0,0,0.285714,0,0,26.454545,6,1.7273,FALSE
4,7,1,0,3,8,15,3,0,7,0.833333,34,1,0,0,0.714286,0,0,3.428571,1,0.8571,FALSE
4,14,3,0,13,64,59,1,13,11,0.956731,665,1,0,0.767857,0.678571,1,2,45.357143,9,1.5714,FALSE
4,1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,FALSE
4,2,3,0,5,6,1,0,5,1,2,25,1,0,0.933333,0.75,1,1,11,4,2,TRUE
4,10,3,0,8,24,17,0,8,7,0.851852,197,1,0,0.8125,0.32,2,6,18.1,5,1.9,FALSE
4,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,0,0,TRUE
4,0,1,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,FALSE
4,4,2,0,12,20,4,0,12,2,0.833333,77,0.5,0,0.5,0.416667,1,1,17.75,2,0.75,FALSE
4,5,2,0,10,15,8,2,9,4,0.75,43,1,1,0.875,0.366667,1,1,7.4,2,1,FALSE
4,17,4,0,17,62,52,1,17,14,0.8125,700,0.5,0,0.88189,0.3125,2,8,40.058824,11,2.2353,FALSE
4,2,1,0,23,42,1,0,23,2,2,158,0,0,0,0.666667,0,0,78,7,3.5,FALSE
4,8,1,0,3,21,18,2,1,8,0.988095,152,0.416667,0,0,0.375,0,0,16.5,3,1.375,FALSE
4,10,4,1,9,23,31,2,7,5,0.938272,119,0.444444,1,0.929204,0.288889,2,6,10,3,1,FALSE
4,3,4,0,7,9,3,1,6,1,1,36,0,0,0.888889,0.444444,1,1,10.666667,2,1,FALSE
4,2,1,0,1,5,1,0,1,2,2,45,0,0,0,0.75,0,0,21.5,9,4.5,FALSE
4,2,3,0,6,8,1,0,6,1,2,31,1,0,0.933333,0.75,1,1,14,5,2.5,FALSE
4,1,1,0,3,1,0,2,1,1,2,9,0,0,0,1,0,0,0,1,1,FALSE
4,5,1,0,16,38,0,1,15,2,0,250,1,0,0,0.6,0,0,48.8,1,0.8,FALSE
4,2,1,0,7,17,1,0,7,2,2,150,0,0,0,0.75,0,0,74,14,7,FALSE
4,2,3,0,16,34,1,0,16,2,2,119,0,0,0.833333,0.75,1,1,58.5,4,2,TRUE
4,11,5,0,22,55,41,1,21,8,0.94,195,0.4,0,0.940789,0.3,3,12,16.272727,3,1.3636,TRUE
4,2,1,0,1,5,1,0,1,2,2,45,0,0,0,0.75,0,0,21.5,9,4.5,FALSE
4,4,2,0,24,53,4,0,24,2,0.888889,198,0.333333,0,0.5,0.444444,1,1,47.75,4,1.25,FALSE
4,5,1,0,8,15,10,0,8,3,2,41,0,0,0,0.52,0,0,7.2,1,0.8,FALSE
4,13,1,0,21,54,40,10,14,7,0.625,519,0.75,1,0,0.291667,0,0,38.615385,6,1.6923,FALSE
4,0,1,0,0,0,0,0,0,0,2,50,0,0,0,0,0,0,0,0,0,TRUE
4,28,1,0,171,68,272,165,6,24,0.808642,625,0.5,0,0,0.244444,0,0,21.107143,3,1.3571,FALSE
4,6,1,0,3,19,15,2,1,4,1,106,0,0,0,0.433333,0,0,16.333333,2,1.3333,FALSE
4,5,2,0,25,40,8,0,25,2,0.833333,139,0.333333,0,0.4,0.4,1,1,26.2,3,1.4,FALSE
4,2,3,0,7,8,1,0,7,1,2,38,1,0,0.933333,0.75,1,1,17.5,7,3.5,FALSE
4,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,FALSE
4,5,1,0,32,72,4,0,32,2,0.8125,272,0.25,0,0,0.357143,0,0,52.6,3,1.4,FALSE
4,9,6,0,13,51,28,4,13,2,0.8125,319,1,0,0.932203,0.5,3,4,34.222222,3,1.3333,TRUE
4,25,6,0,48,116,216,2,47,16,1.005435,856,0.086957,1,0.859756,0.166667,3,11,32.32,10,2.32,TRUE
4,2,2,0,2,3,1,1,1,1,2,7,0,0,0.909091,1,1,2,2.5,1,0.5,FALSE
4,2,5,0,3,12,1,0,3,1,2,44,0,0,0.979167,0.75,1,1,21,3,1.5,FALSE
